PubID,PubMedID,PubYear,NumPts,NumIsolates,NumLANLIsolates,NumLANLIsolatesQCPassed,Title,Authors,Subtypes,RxStatus,Notes
PM27163788,27163788,2016,148,410,68,68,Differences in the Selection Bottleneck between Modes of Sexual Transmission Influence the Genetic Composition of the HIV-1 Founder Virus,"Tully,D.C., Ogilvie,C.B., Batorsky,R.E., Bean,D.J., Power,K.A., Ghebremichael,M., Bedard,H.E., Gladden,A.D., Seese,A.M., Amero,M.A., Lane,K., McGrath,G., Bazner,S.B., Tinsley,J., Lennon,N.J., Henn,M.R., Brumme,Z.L., Norris,P.J., Rosenberg,E.S., Mayer,K.H., Jessen,H., Kosakovsky Pond,S.L., Walker,B.D., Altfeld,M., Carlson,J.M. and Allen,T.M.",02_AG; B; C,Naive,
PM21358627,21358627,2011,,461,66,66,Genetic impact of vaccination on breakthrough HIV-1 sequences from the STEP trial,"Rolland,M., Tovanabutra,S., deCamp,A.C., Frahm,N., Gilbert,P.B., Sanders-Buell,E., Heath,L., Magaret,C.A., Bose,M., Bradfield,A., O'Sullivan,A., Crossler,J., Jones,T., Nau,M., Wong,K., Zhao,H., Raugi,D.N., Sorensen,S., Stoddard,J.N., Maust,B.S., Deng,W., Hural,J., Dubey,S., Michael,N.L., Shiver,J., Corey,L., Li,F., Self,S.G., Kim,J., Buchbinder,S., Casimiro,D.R., Robertson,M.N., Duerr,A., McElrath,M.J., McCutchan,F.E. and Mullins,J.I.",02_AG; B,Naive,
PM24447533,24447533,2014,,60,64,64,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),"Hora,B., Chen,Y., Denny,T.N., Busch,M., Tadokoro,K. and Gao,F.",01A1G; 01_AE; 02A; 02_AG; A1; A1A2C; A1C; A1CD; A1D; A1G; A6; B; BC; C; D,Naive,
PM15542675,15542675,2004,,90,60,60,Comprehensive cross-clade neutralization analysis of a panel of anti-human immunodeficiency virus type 1 monoclonal antibodies,"Binley,J.M., Wrin,T., Korber,B., Zwick,M.B., Wang,M., Chappey,C., Stiegler,G., Kunert,R., Zolla-Pazner,S., Katinger,H., Petropoulos,C.J. and Burton,D.R.",01_AE; 12_BF; 73_BG; A1; A1C; A1CD; AG; B; BF1; C; D; F1; G; JU,Unknown,
PM21980282,21980282,2011,,3157,59,59,Recurrent Signature Patterns in HIV-1 B Clade Envelope Glycoproteins Associated with either Early or Chronic Infections,"Gnanakaran,S., Bhattacharya,T., Daniels,M., Keele,B.F., Hraber,P.T., Lapedes,A.S., Shen,T., Gaschen,B., Krishnamoorthy,M., Li,H., Decker,J.M., Salazar-Gonzalez,J.F., Wang,S., Jiang,C., Gao,F., Swanstrom,R., Anderson,J.A., Ping,L.H., Cohen,M.S., Markowitz,M., Goepfert,P.A., Saag,M.S., Eron,J.J., Hicks,C.B., Blattner,W.A., Tomaras,G.D., Asmal,M., Letvin,N.L., Gilbert,P.B., Decamp,A.C., Magaret,C.A., Schief,W.R., Ban,Y.E., Zhang,M., Soderberg,K.A., Sodroski,J.G., Haynes,B.F., Shaw,G.M., Hahn,B.H. and Korber,B.",B,Naive,
HSm3VWDhKsrZyPCeBtqKXJgw,,2007,,621,55,55,Direct Submission,"Salazar-Gonzalez,J.",B,Unpublished,
HSNGyYrGZsXYoWstdIVYOjEg,,,,55,54,54,"Characterization of near full-length genomes of HIV-1 in Yunnan, China: dominance of multiple circulating recombinant forms and unique recombinant forms","Liu,Y.",01B; 01BC; 01_AE; 07_BC; 08_BC; BC; C,Unpublished,
PM19619035,19619035,2009,66,77,52,52,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphyletic and Evolving Infection,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kosrtikis,L.G.",02B; 04_cpx; A1; A6; B; BC; C; D; DG; U,Rx,
PM23616655,23616655,2013,260,2222,51,51,Comparison of viral Env proteins from acute and chronic infections with subtype C human immunodeficiency virus type 1 identifies differences in glycosylation and CCR5 utilization and suggests a new strategy for immunogen design,"Ping,L.H., Joseph,S.B., Anderson,J.A., Abrahams,M.R., Salazar-Gonzalez,J.F., Kincer,L.P., Treurnicht,F.K., Arney,L., Ojeda,S., Zhang,M., Keys,J., Potter,E.L., Chu,H., Moore,P., Salazar,M.G., Iyer,S., Jabara,C., Kirchherr,J., Mapanje,C., Ngandu,N., Seoighe,C., Hoffman,I., Gao,F., Tang,Y., Labranche,C., Lee,B., Saville,A., Vermeulen,M., Fiscus,S., Morris,L., Karim,S.A., Haynes,B.F., Shaw,G.M., Korber,B.T., Hahn,B.H., Cohen,M.S., Montefiori,D., Williamson,C. and Swanstrom,R.",A1; C,ProbablyNaive,
PM19193811,19193811,2009,69,1505,49,49,Quantitating the multiplicity of infection with human immunodeficiency virus type 1 subtype C reveals a non-poisson distribution of transmitted variants,"Abrahams,M.R., Anderson,J.A., Giorgi,E.E., Seoighe,C., Mlisana,K., Ping,L.H., Athreya,G.S., Treurnicht,F.K., Keele,B.F., Wood,N., Salazar-Gonzalez,J.F., Bhattacharya,T., Chu,H., Hoffman,I., Galvin,S., Mapanje,C., Kazembe,P., Thebus,R., Fiscus,S., Hide,W., Cohen,M.S., Karim,S.A., Haynes,B.F., Shaw,G.M., Hahn,B.H., Korber,B.T., Swanstrom,R. and Williamson,C.",C,Naive,
PM26041893,26041893,2015,90,90,48,48,Long-Range HIV Genotyping Using Viral RNA and Proviral DNA for Analysis of HIV Drug Resistance and HIV Clustering,"Novitsky,V., Zahralban-Steele,M., McLane,M.F., Moyo,S., van Widenfelt,E., Gaseitsiwe,S., Makhema,J. and Essex,M.",C,Naive,
PM28068781,28068781,2017,,,47,47,Complex phylogeny of HIV-1 among drug users in Kenya,"Gounder,K., Ongeri,M., Padayachi,N., Zulu,T.M., de Oliveira,T., Wylie,J. and Ndung'u,T.",A1; A1A2; A1C; A1CD; A1D; C; CD; D,ProbablyNaive,
PM15186527,15186527,2004,51,50,45,45,Development and application of a high-throughput HIV type 1 genotyping assay to identify CRF02_AG in West/West Central Africa,"Kijak,G.H., Sanders-Buell,E., Wolfe,N.D., Mpoudi-Ngole,E., Kim,B., Brown,B., Robb,M.L., Birx,D.L., Burke,D.S., Carr,J.K. and McCutchan,F.E.",0102A; 01ADF2; 02A1U; 02G; 02_AG; 11_cpx; 13_cpx; 22A1U; 22DU; 22_01A1; 25_cpx; A1F2; AF2; AGU; AHJU; D; F2; G,Naive,
PM23714744,23714744,2013,,79,45,45,Prevalence of HIV-1 dual infection in long-term nonprogressor-elite controllers,"Pernas,M., Casado,C., Sandonis,V., Arcones,C., Rodriguez,C., Ruiz-Mateos,E., Ramirez de Arellano,E., Rallon,N., Del Val,M., Grau,E., Lopez-Vazquez,M., Leal,M., Del Romero,J. and Lopez Galindez,C.",B,ProbablyNaive,
PM28740221,28740221,,,,45,45,Escape from humoral immunity is associated with treatment failure in HIV-1-infected patients receiving long-term antiretroviral therapy: implication for predicting treatment outcome and designing individual therapeutic regimen,"Ouyang,Y., Yin,Q., Li,Z. and Ma,L.",B,PI-Naive,
PM12487816,12487816,2002,92,90,43,43,"Among 46 near full length HIV type 1 genome sequences from Rakai District, Uganda, subtype D and AD recombinants predominate","Harris,M.E., Serwadda,D., Sewankambo,N., Kim,B., Kigozi,G., Kiwanuka,N., Phillips,J.B., Wabwire,F., Meehen,M., Lutalo,T., Lane,J.R., Merling,R., Gray,R., Wawer,M., Birx,D.L., Robb,M.L. and McCutchan,F.E.",A1; A1C; A1D; CD; D,Naive,
PM15592417,15592417,2004,,153,43,43,Dominant influence of HLA-B in mediating the potential co-evolution of HIV and HLA,"Kiepiela,P., Leslie,A.J., Honeyborne,I., Ramduth,D., Thobakgale,C., Chetty,S., Rathnavalu,P., Moore,C., Pfafferott,K.J., Hilton,L., Zimbwa,P., Moore,S., Allen,T., Brander,C., Addo,M.M., Altfeld,M., James,I., Mallal,S., Bunce,M., Barber,L.D., Szinger,J., Day,C., Klenerman,P., Mullins,J., Korber,B., Coovadia,H.M., Walker,B.D. and Goulder,P.J.",02B; A1D; B,Naive,
PM22933290,22933290,2012,43,43,43,43,"Reconstituting the epidemic history of CRF01_AE among MSM in Liaoning, northeastern China: Implication in expanding MSM epidemic in China","An,M., Han,X., Xu,J., Chu,Z., Jia,M., Wu,H., Lu,L., Takebe,Y. and Shang,H.",01_AE; 07_BC; 59_01B; B,Naive,
PM23300446,23300446,2012,43,1607,43,43,Central Nervous System Compartmentalization of HIV-1 Subtype C Variants Early and Late in Infection in Young Children,"Sturdevant,C.B., Dow,A., Jabara,C.B., Joseph,S.B., Schnell,G., Takamune,N., Mallewa,M., Heyderman,R.S., Van Rie,A. and Swanstrom,R.",A1C; A1GJ; C; U,Naive,
PM25734126,25734126,2014,50,1451,43,43,Low Multiplicity of HIV-1 Infection and No Vaccine Enhancement in VAX003 Injection Drug Users,"Sterrett,S., Learn,G.H., Edlefsen,P.T., Haynes,B.F., Hahn,B.H., Shaw,G.M. and Bar,K.J.",01_AE; 15_01B; B,Naive,
PM11991972,11991972,2002,41,42,42,42,Human immunodeficiency virus type 1 subtype C molecular phylogeny: consensus sequence for an AIDS vaccine design?,"Novitsky,V., Smith,U.R., Gilbert,P., McLane,M.F., Chigwedere,P., Williamson,C., Ndung'u,T., Klein,I., Chang,S.-Y., Peter,T., Thior,I., Foley,B.T., Gaolekwe,S., Rybak,N., Gaseitsiwe,S., Vannberg,F., Marlink,R., Lee,T.-H. and Essex,M.",C,Naive,
PM27434311,27434311,2016,630,630,42,42,Features of Recently Transmitted HIV-1 Clade C Viruses that Impact Antibody Recognition: Implications for Active and Passive Immunization,"Rademeyer,C., Korber,B., Seaman,M.S., Giorgi,E.E., Thebus,R., Robles,A., Sheward,D.J., Wagh,K., Garrity,J., Carey,B.R., Gao,H., Greene,K.M., Tang,H., Bandawe,G.P., Marais,J.C., Diphoko,T.E., Hraber,P., Tumba,N., Moore,P.L., Gray,G.E., Kublin,J., McElrath,M.J., Vermeulen,M., Middelkoop,K., Bekker,L.G., Hoelscher,M., Maboko,L., Makhema,J., Robb,M.L., Abdool Karim,S., Abdool Karim,Q., Kim,J.H., Hahn,B.H., Gao,F., Swanstrom,R., Morris,L., Montefiori,D.C. and Williamson,C.",C,Naive,
PM23853594,23853594,2013,40,40,40,40,Evidence for a Continuous Drift of the HIV-1 Species towards Higher Resistance to Neutralizing Antibodies over the Course of the Epidemic,"Bouvin-Pley,M., Morgand,M., Moreau,A., Jestin,P., Simonnet,C., Tran,L., Goujard,C., Meyer,L., Barin,F. and Braibant,M.",B; BG,Naive,
PM27512845,27512845,2016,,,40,40,Significant contribution of subtype G to HIV-1 genetic complexity in Nigeria identified by a newly developed subtyping assay specific for subtype G and CRF02_AG,"Heipertz,R.A. Jr., Ayemoba,O., Sanders-Buell,E., Poltavee,K., Pham,P., Kijak,G.H., Lei,E., Bose,M., Howell,S., O'Sullivan,A.M., Bates,A., Cervenka,T., Kuroiwa,J., Akintunde,A., Ibezim,O., Alabi,A., Okoye,O., Manak,M., Malia,J., Peel,S., Maisaka,M., Singer,D., O'Connell,R.J., Robb,M.L., Kim,J.H., Michael,N.L., Njoku,O. and Tovanabutra,S.",02A1; 02G; 02U; 02_AG; 06G; 06_cpx; 11_cpx; A; A1U; C; G,Naive,
HSJ4-yI1CPG6lQEs7JGavQwg,,,,41,39,39,CAVD/CA-VIMC Neutralization Serotype Discovery Project,"Hahn,B.H., Swanstrom,R., Gao,F., Kim,J., Seaman,M.S., Williamson,C., Montefiori,D.C., Salazar,M.G., Salazar Gonzalez,J.F., Ojeda,S. and Anderson,J.A.",02_AG; A1; AC; AD; B; C; D,Unpublished,
PM23972100,23972100,2013,39,89,39,39,"Molecular Epidemiology of Early and Acute HIV Type 1 Infections in the United States Navy and Marine Corps, 2005-2010","Heipertz,R.A. Jr., Sanders-Buell,E., Kijak,G., Howell,S., Lazzaro,M., Jagodzinski,L.L., Eggleston,J., Peel,S., Malia,J., Armstrong,A., Michael,N.L., Kim,J.H., O'Connell,R.J., Scott,P.T., Brett-Major,D.M. and Tovanabutra,S.",01_AE; B,Naive,
HSKTojEfGeSmUzCld1r_jrag,,2015,,817,37,37,Direct Submission,"Swanstrom,R.",06A1; B,Unpublished,
PM21036380,21036380,2011,37,476,37,37,Identification of amino acid substitutions associated with neutralization phenotype in the human immunodeficiency virus type-1 subtype C gp120,"Kirchherr,J.L., Hamilton,J., Lu,X., Gnanakaran,S., Muldoon,M., Daniels,M., Kasongo,W., Chalwe,V., Mulenga,C., Mwananyanda,L., Musonda,R.M., Yuan,X., Montefiori,D.C., Korber,B.T., Haynes,B.F. and Gao,F.",A1C; C; D; GJ,Naive,
PM17632196,17632196,2007,,36,36,36,Genetic characteristics of HIV-1 subtype C envelopes inducing cross-neutralizing antibodies,"Rademeyer,C., Moore,P. and Williamson,C.",C,Naive,
PM26764036,26764036,2016,,,36,36,HIV-1 Env Glycoprotein Phenotype along with Immune Activation Determines CD4 T Cell Loss in HIV Patients,"Joshi,A., Sedano,M., Beauchamp,B., Punke,E.B., Mulla,Z.D., Meza,A., Alozie,O.K., Mukherjee,D. and Garg,H.",01_AE; B,Mixed,
PM12218394,12218394,2002,41,41,35,35,Forty-one near full-length HIV-1 sequences from Kenya reveal an epidemic of subtype A and A-containing recombinants,"Dowling,W.E., Kim,B., Mason,C.J., Wasunna,K.M., Alam,U., Elson,L., Birx,D.L., Robb,M.L., McCutchan,F.E. and Carr,J.K.",21_A2D; A1; A1A2D; A1C; A1CD; A1D; A1G; C; CD; D,Naive,
PM23741489,23741489,2013,35,35,35,35,"High Prevalence of HIV-1 Intersubtype B'/C Recombinants among Injecting Drug Users in Dehong, China","Han,X., An,M., Zhao,B., Duan,S., Yang,S., Xu,J., Zhang,M., McGoogan,J.M., Takebe,Y. and Shang,H.",57_BC; 64_BC; 87_cpx; 88_BC; B; BC; C,Naive,
PM23791226,23791226,2013,46,45,35,35,Elevated hypermutation levels in HIV-1 natural viral suppressors,"Eyzaguirre,L.M., Charurat,M., Redfield,R.R., Blattner,W.A., Carr,J.K. and Sajadi,M.M.",B,Mixed,
HSd3PJnB5xWmLdJaow14tHmg,,,,195,34,34,Phylogenetic analysis of full-length env gene from 2 plasma donors and hemophiliacs infected with Korean subclade B of HIV type 1,"Cho,Y.-K.",B,Unpublished,
PM27697032,27697032,2016,35,35,34,34,Genetic Characterization of HIV-1 strains among different risk group of Nepalese patient from central region of Nepal,"Bhusal,N., Sutthent,R., Horthongkham,N., Athipanyasilp,N. and Kantakamalakul,W.",01C; 01CD; 01_AE; A1; A1C; C; CD,Rx,
PM15186520,15186520,2004,38,38,33,33,"The changing molecular epidemiology of HIV type 1 among northern Thai drug users, 1999 to 2002","Tovanabutra,S., Beyrer,C., Sakkhachornphop,S., Razak,M.H., Ramos,G.L., Vongchak,T., Rungruengthanakit,K., Saokhieo,P., Tejafong,K., Kim,B., De Souza,M., Robb,M.L., Birx,D.L., Jittiwutikarn,J., Suriyanon,V., Celentano,D.D. and McCutchan,F.E.",01B; 01_AE,Naive,
PM23199052,23199052,2013,,126,33,33,Phylogenetic Analysis of Near Full-Length HIV Type 1 Genomic Sequences from 21 Korean Individuals,"Cho,Y.K., Kim,J.E. and Foley,B.T.",02_AG; B; D,Mixed,
PM28122636,28122636,,,,33,33,Breast Milk and in utero Transmission of HIV-1 Selelct for Envelope Variants with Unique Molecular Signatures,"Nakamura,K.J., Heath,L., Sobrera,E.R., Wilkinson,T.A., Semrau,K., Kankasa,C., Tobin,N.H., Webb,N.E., Lee,B., Thea,D.M., Kuhn,L., Mullins,J.I. and Aldrovandi,G.M.",C; G,PI-Naive,
HSkXqn6pED-yHZ__zf5qTesg,,2010,,306,32,32,Direct Submission,"Revilla,A., Delgado,E. and Thomson,M.",A6; B; BF1; CG; F1; G,Unpublished,
PM22149143,22149143,2012,,108,32,32,Pilot Studies for Development of an HIV Subtype Panel for Surveillance of Global Diversity,"Manak,M., Sina,S., Anekella,B., Hewlett,I., Sanders-Buell,E.E., Ragupathy,V., Kim,J.H., Vermeulen,M., Stramer,S., Sabino,E., Grabarczyk,P., Michael,N.L., Peel,S., Garrett,P.E., Tovanabutra,S., Busch,M. and Schito,M.",02_AG; 04_cpx; B; BF; C,Naive,
PM26699702,26699702,2016,55,56,32,32,A PAN-HIV STRATEGY FOR COMPLETE GENOME SEQUENCING,"Berg,M.G., Yamaguchi,J., Alessandri-Gradt,E., Tell,R.W., Plantier,J.C. and Brennan,C.A.",01_AE; 0206; 02A1; 02D; 02_AG; 06_cpx; 11_cpx; A1; A1G; B; C; D; F1; G; H; J,Naive,
PM27314585,27314585,2016,,85,31,31,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),"Hora,B., Chen,Y., Denny,T.N. and Gao,F.",02_AG; A1B; B; BF1; C; D; F1; F2; U,Naive,
PM18670237,18670237,2008,60,60,30,30,"A new CRF01_AE/B recombinant structure of HIV type 1 found in Heilongjiang province, China","Zhou,H.Z., Li,Y., Zhou,H., Liu,Y.C., Du,H.T., Wang,K.L., Wang,F.X. and Ling,H.",01B; 07_BC; B,Naive,
PM27574950,27574950,2016,,,30,30,First description of two new HIV-1 recombinant forms CRF82_cpx and CRF83_cpx among drug users in Northern Myanmar,"Chen,X., Ye,M., Duo,L., Pang,W., Smith,D., Zhang,C. and Zheng,Y.T.",01B; 01BC; 01C; 01_AE; 07_BC; 08_BC; 82_cpx; 83_cpx; BC,Naive,
PM20932333,20932333,2010,38,38,29,29,"HIV-1 subtype distribution in the Gambia and the significant presence of CRF49_cpx, a novel circulating recombinant form","de Silva,T.I., Turner,R., Hue,S., Trikha,R., van Tienen,C., Onyango,C., Jaye,A., Foley,B., Whittle,H., Rowland-Jones,S.L. and Cotten,M.",0209; 02A1; 02_AG; 49_cpx; A1; B; C; D,Naive,
PM21226626,21226626,2011,,143,29,29,Functional molecular clones of HIV-1 env of subtypes G and BG recombinants,"Revilla,A., Delgado,E., Vega,Y. and Thomson,M.M.",12_BF; 14_BG; A1G; B; BG; C; D; F; F1; F2; G,Unknown,
PM26599538,26599538,2015,,34,29,29,Utility of Unbiased Next-Generation Sequencing for HIV Surveillance,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Federman,S., Mbanya,D., Kaptue,L., Chiu,C.Y., Brennan,C.A. and Hackett,J. Jr.",0102A; 01A1; 01_AE; 11_cpx; 13_cpx; 18_cpx; 37_cpx; A1; A1F2; A1G; A1H; A1K; DG; G; U,ProbablyNaive,
HSew6VzqV4NsJdp8oXCOXjOQ,,2011,,33,28,28,Direct Submission,"Gao,F., Kumar,A., Hahn,B.H., Swanstrom,R., Kim,J., Seaman,M.S., Williamson,C. and Montefiori,D.C.",01_AE; A1; A1C; B; C; D; U,Unpublished,
PM20485520,20485520,2010,28,1430,28,28,High Multiplicity Infection by HIV-1 in Men Who Have Sex with Men,"Li,H., Bar,K.J., Wang,S., Decker,J.M., Chen,Y., Sun,C., Salazar-Gonzalez,J.F., Salazar,M.G., Learn,G.H., Morgan,C.J., Schumacher,J.E., Hraber,P., Giorgi,E.E., Bhattacharya,T., Korber,B.T., Perelson,A.S., Eron,J.J., Cohen,M.S., Hicks,C.B., Haynes,B.F., Markowitz,M., Keele,B.F., Hahn,B.H. and Shaw,G.M.",B,Naive,
PM27973597,27973597,2016,,,28,28,Fast Dissemination of New HIV-1 CRF02/A1 Recombinants in Pakistan,"Chen,Y., Hora,B., DeMarco,T., Shah,S.A., Ahmed,M., Sanchez,A.M., Su,C., Carter,M., Stone,M., Hasan,R., Hasan,Z., Busch,M.P., Denny,T.N. and Gao,F.",02A1; 02_AG; A1; C,Naive,
PM18209676,18209676,2008,27,27,27,27,Genetic and Neutralization Properties of HIV-1 env Clones from Subtype B/BC/AE Infections in China,"Chong,H., Hong,K., Zhang,C., Nie,J., Song,A., Kong,W. and Wang,Y.",01_AE; 07_BC; 08_BC; B; BC,ProbablyNaive,
PM19182918,19182918,2009,,30,27,27,Genetic analysis of HIV type 1 strains from newly infected untreated patients in cyprus: high genetic diversity and low prevalence of drug resistance,"Kousiappa,I., van de Vijver,D.A., Demetriades,I. and Kostrikis,L.G.",01A1; 01_AE; 02_AG; A1; A1U; A6; B; C; D,Naive,
PM25811757,25811757,2015,27,1612,27,27,Compartmentalized Replication of R5 T Cell-Tropic HIV-1 in the Central Nervous System Early in the Course of Infection,"Sturdevant,C.B., Joseph,S.B., Schnell,G., Price,R.W., Swanstrom,R. and Spudich,S.",B,Naive,
PM16817969,16817969,2006,27,27,26,26,The predominance of Human Immunodeficiency Virus type 1 (HIV-1) circulating recombinant form 02 (CRF02_AG) in West Central Africa may be related to its replicative fitness,"Njai,H.F., Gali,Y., Vanham,G., Clybergh,C., Jennes,W., Vidal,N., Butel,C., Mpoudi-Ngolle,E., Peeters,M. and Arien,K.K.",02A1; 02_AG; 09A; A; A1; A1A3; ADU; AG; G,Naive,
PM19143562,19143562,2009,13 pairs,208,26,26,Selection of HIV Variants with Signature Genotypic Characteristics during Heterosexual Transmission,"Sagar,M., Laeyendecker,O., Lee,S., Gamiel,J., Wawer,M.J., Gray,R.H., Serwadda,D., Sewankambo,N.K., Shepherd,J.C., Toma,J., Huang,W. and Quinn,T.C.",A1; D,Naive,
PM18562530,18562530,2008,,58,25,25,Genetic characterization of human immunodeficiency virus type 1 in elite controllers: lack of gross genetic defects or common amino acid changes,"Miura,T., Brockman,M.A., Brumme,C.J., Brumme,Z.L., Carlson,J.M., Pereyra,F., Trocha,A., Addo,M.M., Block,B.L., Rothchild,A.C., Baker,B.M., Flynn,T., Schneidewind,A., Li,B., Wang,Y.E., Heckerman,D., Allen,T.M. and Walker,B.D.",B,Naive,
PM19025632,19025632,2008,40,40,25,25,Conserved positive selection signals in gp41 across multiple subtypes and difference in selection signals detectable in gp41 sequences sampled during acute and chronic HIV-1 subtype C infection,"Bandawe,G.P., Martin,D.P., Treurnicht,F., Mlisana,K., Karim,S.S. and Williamson,C.",C,Naive,
PM20707647,20707647,2010,,84,25,25,Short Communication: Biological and Genetic Characterization of HIV Type 1 Subtype B and Nonsubtype B Transmitted Viruses: Usefulness for Vaccine Candidate Assessment,"Cuevas,M.T., Fernandez-Garcia,A., Pinilla,M., Garcia-Alvarez,V., Thomson,M., Delgado,E., Gonzalez-Galeano,M., Miralles,C., Serrano-Bengoechea,E., Ojea de Castro,R., Lopez-Alvarez,M.J., Lezaun,M.J., Sanchez-Garcia,A.M., Sanchez-Martinez,M., Munoz-Nieto,M. and Perez-Alvarez,L.",02A; 14_BG; 24_BG; A1; B; BF1; C; DF1G; G,Naive,
PM19540543,19540543,2009,33,33,24,24,Phylodynamic analysis of the dissemination of HIV-1 CRF01_AE in Vietnam,"Liao,H., Tee,K.K., Hase,S., Uenishi,R., Li,X.J., Kusagawa,S., Thang,P.H., Hien,N.T., Pybus,O.G. and Takebe,Y.",01_AE,Naive,
