PubID,PubMedID,PubYear,NumPts,NumIsolates,NumLANLIsolates,Title,Authors,Subtypes,RxStatus,Notes
PM27314585,27314585,,,194,142,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),"Hora,B., Chen,Y., Denny,T.N. and Gao,F.",01A1G; 01_AE; 02A; 02A1; 02_AG; 11_cpx; 22_01A1; A1; A1A2C; A1B; A1C; A1CD; A1D; A1G; A6; B; BC; BF1; C; D; F1; F2; G; U,Naive,
PM28424286,28424286,2017,,,130,Subtype-Specific Differences in Gag-Protease-Driven Replication Capacity are Consistent with Inter-Subtype Differences in HIV-1 Disease Progression,"Kiguoya,M., Mann,J.K., Chopera,D., Gounder,K., Lee,G., Hunt,P., Martin,J., Ball,T., Kimani,J., Brumme,Z.L., Brockman,M.A. and Ndung'u,T.",A1; A1A2; A1A2C; A1A2D; A1B; A1C; A1CD; A1D; A1DG; A1G; A2D; B; BC; C; CD; D,Naive,
PM25560398,25560398,2015,,676,128,"CRF07_BC strain dominates the HIV-1 epidemic in injection drug users in Liangshan prefecture of Sichuan, China","Li,L., Wei,D., Hsu,W., Li,T., Gui,T., Wood,C., Liu,Y., Li,H., Bao,Z., Liu,S., Wang,X. and Li,J.",01_AE; BC; C,Naive,
PM22960785,22960785,2012,,1023,121,Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2,"Rolland,M., Edlefsen,P.T., Larsen,B.B., Tovanabutra,S., Sanders-Buell,E., Hertz,T., deCamp,A.C., Carrico,C., Menis,S., Magaret,C.A., Ahmed,H., Juraska,M., Chen,L., Konopa,P., Nariya,S., Stoddard,J.N., Wong,K., Zhao,H., Deng,W., Maust,B.S., Bose,M., Howell,S., Bates,A., Lazzaro,M., O'Sullivan,A., Lei,E., Bradfield,A., Ibitamuno,G., Assawadarachai,V., O'Connell,R.J., deSouza,M.S., Nitayaphan,S., Rerks-Ngarm,S., Robb,M.L., McLellan,J.S., Georgiev,I., Kwong,P.D., Carlson,J.M., Michael,N.L., Schief,W.R., Gilbert,P.B., Mullins,J.I. and Kim,J.H.",01B; 01_AE; 02_AG; B,Naive,
PM21402549,21402549,2011,,204,102,Factors associated with viral rebound in HIV-1-infected individuals enrolled in a therapeutic HIV-1 gag vaccine trial,"Li,J.Z., Brumme,Z.L., Brumme,C.J., Wang,H., Spritzler,J., Robertson,M.N., Lederman,M.M., Carrington,M., Walker,B.D., Schooley,R.T. and Kuritzkes,D.R.",B,Rx,
PM22039546,22039546,2011,,2958,96,A Comparison of Parallel Pyrosequencing and Sanger Clone-Based Sequencing and Its Impact on the Characterization of the Genetic Diversity of HIV-1,"Liang,B., Luo,M., Scott-Herridge,J., Semeniuk,C., Mendoza,M., Capina,R., Sheardown,B., Ji,H., Kimani,J., Ball,B.T., Van Domselaar,G., Graham,M., Tyler,S., Jones,S.J. and Plummer,F.A.",A1; A1C; A1D; A2; A2D; B; C; CD; D,Naive,
PM23121221,23121221,2013,,175,93,"Genetic Characterization and Transmitted Drug Resistance of the HIV Type 1 Epidemic in Men Who Have Sex with Men in Beijing, China","Li,L., Han,N., Lu,J., Li,T., Zhong,X., Wu,H., Rayner,S., Chen,L., Liu,Y., Wang,X., Li,H. and Li,J.",01_AE; 07_BC; B,Naive,
PM18596105,18596105,,,1042,82,Central role of reverting mutations in HLA associations with human immunodeficiency virus set point,"Matthews,P.C., Prendergast,A., Leslie,A., Crawford,H., Payne,R., Rousseau,C., Rolland,M., Honeyborne,I., Carlson,J., Kadie,C., Brander,C., Bishop,K., Mlotshwa,N., Mullins,J.I., Coovadia,H., Ndung'u,T., Walker,B.D., Heckerman,D. and Goulder,P.J.",C,Naive,
PM19542300,19542300,2009,,91,81,Minor viral and host genetic polymorphisms can dramatically impact the biologic outcome of an epitope-specific CD8 T-cell response,"Geldmacher,C., Metzler,I.S., Tovanabutra,S., Asher,T.E., Gostick,E., Ambrozak,D.R., Petrovas,C., Schuetz,A., Ngwenyama,N., Kijak,G., Maboko,L., Hoelscher,M., McCutchan,F., Price,D.A., Douek,D.C. and Koup,R.A.",A1; A1C; A1CD; A1D; C; CD; D,Naive,
PM24015191,24015191,2013,,77,77,No Evidence for Selection of HIV-1 with Enhanced Gag-Protease or Nef Function among Breakthrough Infections in the CAPRISA 004 Tenofovir Microbicide Trial,"Chopera,D.R., Mann,J.K., Mwimanzi,P., Omarjee,S., Kuang,X.T., Ndabambi,N., Goodier,S., Martin,E., Naranbhai,V., Karim,S.A., Karim,Q.A., Brumme,Z.L., Ndung'u,T., Williamson,C. and Brockman,M.A.",A1; C,Naive,
PM23807275,23807275,2013,,75,74,The rapidly expanding CRF01_AE epidemic in China is driven by multiple lineages of HIV-1 viruses introduced in the 1990s,"Feng,Y., He,X., Hsi,J.H., Li,F., Li,X., Wang,Q., Ruan,Y., Xing,H., Lam,T.T., Pybus,O.G., Takebe,Y. and Shao,Y.",01_AE,Naive,
PM21453134,21453134,2011,,74,72,Molecular Characterization of HIV Type 1 Strains from Newly Diagnosed Patients in Cyprus (2007-2009) Recovers Multiple Clades Including Unique Recombinant Strains and Lack of Transmitted Drug Resistance,"Kousiappa,I., Achilleos,C., Hezka,J., Lazarou,Y., Othonos,K., Demetriades,I. and Kostrikis,L.G.",02BG; 02D; 02_AG; 11_cpx; 37_cpx; A1; A1B; A1U; A6; B; BF1; C; F1; U,Naive,
PM27163788,27163788,2016,,73,68,Differences in the Selection Bottleneck between Modes of Sexual Transmission Influence the Genetic Composition of the HIV-1 Founder Virus,"Tully,D.C., Ogilvie,C.B., Batorsky,R.E., Bean,D.J., Power,K.A., Ghebremichael,M., Bedard,H.E., Gladden,A.D., Seese,A.M., Amero,M.A., Lane,K., McGrath,G., Bazner,S.B., Tinsley,J., Lennon,N.J., Henn,M.R., Brumme,Z.L., Norris,P.J., Rosenberg,E.S., Mayer,K.H., Jessen,H., Kosakovsky Pond,S.L., Walker,B.D., Altfeld,M., Carlson,J.M. and Allen,T.M.",02_AG; B; C,Naive,
PM21358627,21358627,2011,,442,67,Genetic impact of vaccination on breakthrough HIV-1 sequences from the STEP trial,"Rolland,M., Tovanabutra,S., deCamp,A.C., Frahm,N., Gilbert,P.B., Sanders-Buell,E., Heath,L., Magaret,C.A., Bose,M., Bradfield,A., O'Sullivan,A., Crossler,J., Jones,T., Nau,M., Wong,K., Zhao,H., Raugi,D.N., Sorensen,S., Stoddard,J.N., Maust,B.S., Deng,W., Hural,J., Dubey,S., Michael,N.L., Shiver,J., Corey,L., Li,F., Self,S.G., Kim,J., Buchbinder,S., Casimiro,D.R., Robertson,M.N., Duerr,A., McElrath,M.J., McCutchan,F.E. and Mullins,J.I.",02_AG; B,Naive,
PM17411382,17411382,2007,,64,64,HIV type 1 subtype C gag and nef diversity in Southern Africa,"Bredell,H., Martin,D.P., Van Harmelen,J., Varsani,A., Sheppard,H.W., Donovan,R., Gray,C.M. and Williamson,C.",C,ProbablyNaive,
PM25730868,25730868,2015,,127,63,"Replicative fitness of transmitted HIV-1 drives acute immune activation, proviral load in memory CD4+ T cells, and disease progression","Claiborne,D.T., Prince,J.L., Scully,E., Macharia,G., Micci,L., Lawson,B., Kopycinski,J., Deymier,M.J., Vanderford,T.H., Nganou-Makamdop,K., Ende,Z., Brooks,K., Tang,J., Yu,T., Lakhi,S., Kilembe,W., Silvestri,G., Douek,D., Goepfert,P.A., Price,M.A., Allen,S.A., Paiardini,M., Altfeld,M., Gilmour,J. and Hunter,E.",C,Naive,
PM19619035,19619035,,,88,60,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphyletic and Evolving Infection,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kosrtikis,L.G.",02B; 04_cpx; A1; A1B; A6; B; BC; C; D; DG; U,Mixed,
PM21289112,21289112,2011,,73,60,Influence of Gag-Protease-Mediated Replication Capacity on Disease Progression in Individuals Recently Infected with HIV-1 Subtype C,"Wright,J.K., Novitsky,V., Brockman,M.A., Brumme,Z.L., Brumme,C.J., Carlson,J.M., Heckerman,D., Wang,B., Losina,E., Leshwedi,M., van der Stok,M., Maphumulo,L., Mkhwanazi,N., Chonco,F., Goulder,P.J., Essex,M., Walker,B.D. and Ndung'u,T.",C,Naive,
HSNGyYrGZsXYoWstdIVYOjEg,,,,55,55,"Characterization of near full-length genomes of HIV-1 in Yunnan, China: dominance of multiple circulating recombinant forms and unique recombinant forms","Liu,Y.",01B; 01BC; 01_AE; 07_BC; 08_BC; BC; C,Unpublished,
PM28068781,28068781,,,,54,Complex phylogeny of HIV-1 among drug users in Kenya,"Gounder,K., Ongeri,M., Padayachi,N., Zulu,T.M., de Oliveira,T., Wylie,J. and Ndung'u,T.",A1; A1CD; A1D; A2D; C; CD; D,ProbablyNaive,
PM18562530,18562530,2008,,53,53,Genetic characterization of human immunodeficiency virus type 1 in elite controllers: lack of gross genetic defects or common amino acid changes,"Miura,T., Brockman,M.A., Brumme,C.J., Brumme,Z.L., Carlson,J.M., Pereyra,F., Trocha,A., Addo,M.M., Block,B.L., Rothchild,A.C., Baker,B.M., Flynn,T., Schneidewind,A., Li,B., Wang,Y.E., Heckerman,D., Allen,T.M. and Walker,B.D.",B,Naive,
PM23741489,23741489,2013,,176,51,"High Prevalence of HIV-1 Intersubtype B'/C Recombinants among Injecting Drug Users in Dehong, China","Han,X., An,M., Zhao,B., Duan,S., Yang,S., Xu,J., Zhang,M., McGoogan,J.M., Takebe,Y. and Shang,H.",01BC; 01C; 57_BC; 64_BC; 87_cpx; 88_BC; B; BC; C,Naive,
PM26317223,26317223,2015,,50,46,Comparison of HIV-1 nef and gag Variations and Host HLA Characteristics as Determinants of Disease Progression among HIV-1 Vertically Infected Kenyan Children,"Saina,M.C., Bi,X., Lihana,R., Lwembe,R., Ishizaki,A., Panikulam,A., Palakudy,T., Musoke,R., Owens,M., Songok,E.M. and Ichimura,H.",09A1D; A1; A1C; A1D; C; CD; D,Mixed,
PM20104106,20104106,,,93,45,"Molecular Epidemiology of HIV in Liaoning Province, Northeastern China: Complex Findings in a Low Prevalence Area","Han,X., Tee,K.K., Dai,D., Zhang,M., Liu,J., Li,X.-J., Yang,R., Shang,H. and Takebe,Y.",01B; 01_AE; 06_cpx; 07_BC; 08_BC; A1; B; C; G,Naive,
HSfaVAZLQ_etTK7s0uxYo9AA,,,,100,43,Immune Escape in the chronic phase of Subtype C HIV-1 infection in the Indian Clinical cohort,"Sharma,S., Aralaguppe,S., Murugavel,K., Solomon,S. and Ranga,U.",C,Unpublished,
PM27756485,27756485,2016,,280,43,A study of vaccine-induced immune pressure on breakthrough infections in the Phambili phase 2b HIV-1 vaccine efficacy trial,"Hertz,T., Logan,M.G., Rolland,M., Magaret,C.A., Rademeyer,C., Fiore-Gartland,A., Edlefsen,P.T., DeCamp,A., Ahmed,H., Ngandu,N., Larsen,B.B., Frahm,N., Marais,J., Thebus,R., Geraghty,D., Hural,J., Corey,L., Kublin,J., Gray,G., McElrath,M.J., Mullins,J.I., Gilbert,P.B. and Williamson,C.",A1; A1C; BC; C,Naive,
PM11991972,11991972,2002,,42,42,Human immunodeficiency virus type 1 subtype C molecular phylogeny: consensus sequence for an AIDS vaccine design?,"Novitsky,V., Smith,U.R., Gilbert,P., McLane,M.F., Chigwedere,P., Williamson,C., Ndung'u,T., Klein,I., Chang,S.-Y., Peter,T., Thior,I., Foley,B.T., Gaolekwe,S., Rybak,N., Gaseitsiwe,S., Vannberg,F., Marlink,R., Lee,T.-H. and Essex,M.",C,Naive,
PM27512845,27512845,2016,,,42,Significant contribution of subtype G to HIV-1 genetic complexity in Nigeria identified by a newly developed subtyping assay specific for subtype G and CRF02_AG,"Heipertz,R.A. Jr., Ayemoba,O., Sanders-Buell,E., Poltavee,K., Pham,P., Kijak,G.H., Lei,E., Bose,M., Howell,S., O'Sullivan,A.M., Bates,A., Cervenka,T., Kuroiwa,J., Akintunde,A., Ibezim,O., Alabi,A., Okoye,O., Manak,M., Malia,J., Peel,S., Maisaka,M., Singer,D., O'Connell,R.J., Robb,M.L., Kim,J.H., Michael,N.L., Njoku,O. and Tovanabutra,S.",02A1; 02G; 02U; 02_AG; 06G; 06_cpx; 11_cpx; A; A1U; C; G,Naive,
PM18971283,18971283,2009,,45,41,HLA-associated alterations in replication capacity of chimeric NL4-3 viruses carrying gag-protease from elite controllers of human immunodeficiency virus type 1,"Miura,T., Brockman,M.A., Brumme,Z.L., Brumme,C.J., Pereyra,F., Trocha,A., Block,B.L., Schneidewind,A., Allen,T.M., Heckerman,D. and Walker,B.D.",02_AG; B,Naive,
PM19091871,19091871,2009,,49,40,Transmission and long-term stability of compensated CD8 escape mutations,"Schneidewind,A., Brumme,Z.L., Brumme,C.J., Power,K.A., Reyor,L.L., O'Sullivan,K., Gladden,A., Hempel,U., Kuntzen,T., Wang,Y.E., Oniangue-Ndza,C., Jessen,H., Markowitz,M., Rosenberg,E.S., Sekaly,R.P., Kelleher,A.D., Walker,B.D. and Allen,T.M.",B,Naive,
PM12131217,12131217,2002,,39,39,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",01B; 07_BC; 08_BC; B; BC,Naive,
PM22933290,22933290,2012,,39,39,"Reconstituting the epidemic history of CRF01_AE among MSM in Liaoning, northeastern China: Implication in expanding MSM epidemic in China","An,M., Han,X., Xu,J., Chu,Z., Jia,M., Wu,H., Lu,L., Takebe,Y. and Shang,H.",01_AE; 07_BC; 59_01B; B,Naive,
PM19182918,19182918,2009,,37,36,Genetic analysis of HIV type 1 strains from newly infected untreated patients in cyprus: high genetic diversity and low prevalence of drug resistance,"Kousiappa,I., van de Vijver,D.A., Demetriades,I. and Kostrikis,L.G.",01_AE; 02A1; 02B; A1; A6; B; C; D,Naive,
PM27841669,27841669,2016,,,36,"HIV-1 Genetic Diversity Among Incident Infections in Mbeya, Tanzania","Billings,E., Sanders-Buell,E., Bose,M., Kijak,G.H., Bradfield,A., Crossler,J., Arroyo,M.A., Maboko,L., Hoffmann,O., Geis,S., Birx,D.L., Kim,J.H., Michael,N.L., Robb,M.L., Hoelscher,M. and Tovanabutra,S.",A1; A1C; A1CD; C; CD,Naive,
PM22149143,22149143,,,77,35,Pilot Studies for Development of an HIV Subtype Panel for Surveillance of Global Diversity,"Manak,M., Sina,S., Anekella,B., Hewlett,I., Sanders-Buell,E.E., Ragupathy,V., Kim,J.H., Vermeulen,M., Stramer,S., Sabino,E., Grabarczyk,P., Michael,N.L., Peel,S., Garrett,P.E., Tovanabutra,S., Busch,M. and Schito,M.",02_AG; 04_cpx; B; BF; C,Naive,
PM26699702,26699702,2015,,56,34,A PAN-HIV STRATEGY FOR COMPLETE GENOME SEQUENCING,"Berg,M.G., Yamaguchi,J., Alessandri-Gradt,E., Tell,R.W., Plantier,J.C. and Brennan,C.A.",01_AE; 0206; 02A1; 02D; 02_AG; 06_cpx; 11_cpx; A1; A1G; B; C; D; F1; G; H; J,Naive,
PM23199052,23199052,,,126,31,Phylogenetic Analysis of Near Full-Length HIV Type 1 Genomic Sequences from 21 Korean Individuals,"Cho,Y.K., Kim,J.E. and Foley,B.T.",02_AG; B; D,Mixed,
PM22236149,22236149,2012,,43,29,"Multiple Introductions of HIV into Men Who Have Sex with Men Were Found in Zhengzhou City, China","Li,L., Sun,G., Li,T., Liu,Y., Chen,L., Liu,H., Cui,W., Li,H., Zhuang,D., Wang,Z. and Li,J.",01_AE; 07_BC; B,Naive,
PM27551154,27551154,,,46,29,The Balance Between Transmitted Pre-adapted and Non-adapted Polymorphisms in the Gag Protein is a Major Determinant of HIV-1 Disease Progression,"Monaco,D., Dilernia,D., Gartland,A., Yu,T., Prince,J., Dennis,K., Schaeffer,M., Claiborne,D., Kilembe,W., Tang,J., Price,M., Farmer,P., Gilmour,J., Allen,S., Goepfert,P. and Hunter,E.",C,Naive,
PM20707647,20707647,2010,,98,28,Short Communication: Biological and Genetic Characterization of HIV Type 1 Subtype B and Nonsubtype B Transmitted Viruses: Usefulness for Vaccine Candidate Assessment,"Cuevas,M.T., Fernandez-Garcia,A., Pinilla,M., Garcia-Alvarez,V., Thomson,M., Delgado,E., Gonzalez-Galeano,M., Miralles,C., Serrano-Bengoechea,E., Ojea de Castro,R., Lopez-Alvarez,M.J., Lezaun,M.J., Sanchez-Garcia,A.M., Sanchez-Martinez,M., Munoz-Nieto,M. and Perez-Alvarez,L.",02A; 14_BG; 24_BG; A; A1; B; BF1; C; DF1G; G,Duplicate,
PM24823961,24823961,2014,,174,28,"Reconstituting the epidemic history of mono lineage of HIV-1 CRF01_AE in Guizhou province, Southern China","Zeng,H., Sun,B., Li,L., Li,Y., Liu,Y., Xiao,Y., Jiang,Y. and Yang,R.",01_AE; BC,ProbablyNaive,
PM27973597,27973597,2016,,,28,Fast Dissemination of New HIV-1 CRF02/A1 Recombinants in Pakistan,"Chen,Y., Hora,B., DeMarco,T., Shah,S.A., Ahmed,M., Sanchez,A.M., Su,C., Carter,M., Stone,M., Hasan,R., Hasan,Z., Busch,M.P., Denny,T.N. and Gao,F.",02A1; 02_AG; A1,Naive,
PM26018591,26018591,2015,,29,27,Development of an HIV-1 Subtype Panel in China: Isolation and Characterization of 30 HIV-1 Primary Strains Circulating in China,"Han,J., Liu,S., Guo,W., Bao,Z., Wang,X., Li,L., Liu,Y., Zhuang,D., Li,H., Jia,L., Gui,T., Sui,H., Li,T. and Li,J.",01_AE; 07_BC; B; G,Naive,
PM16386117,16386117,2005,,26,26,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",0107; 0108; 01_AE; 07_BC; 08_BC; B,Naive,
PM26599538,26599538,,,25,25,Utility of Unbiased Next-Generation Sequencing for HIV Surveillance,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Federman,S., Mbanya,D., Kaptue,L., Chiu,C.Y., Brennan,C.A. and Hackett,J. Jr.",0102A; 01_AE; 11_cpx; 13_cpx; 18_cpx; 37_cpx; A1; A1F2; A1H; A1K; DG; G; U,Naive,
PM16379612,16379612,2005,,24,24,Analysis of HIV Type 1 Subtype C Full-Length gag Gene Sequences from India: Novel Observations and Plausible Implications,"Gupta,R.M., Prasad,V.V., Rai,A. and Seth,P.",C,ProbablyNaive,
PM19540543,19540543,2009,,33,24,Phylodynamic analysis of the dissemination of HIV-1 CRF01_AE in Vietnam,"Liao,H., Tee,K.K., Hase,S., Uenishi,R., Li,X.J., Kusagawa,S., Thang,P.H., Hien,N.T., Pybus,O.G. and Takebe,Y.",01_AE,Naive,
PM26258548,26258548,2015,,46,23,Gag-Protease Sequence Evolution Following Protease Inhibitor Monotherapy Treatment Failure in HIV-1 Viruses Circulating in East Africa,"Sutherland,K.A., Goodall,R.L., McCormick,A., Kapaata,A., Lyagoba,F., Kaleebu,P., Thiltgen,G., Gilks,C.F., Spyer,M., Kityo,C., Pillay,D., Dunn,D. and Gupta,R.K.",A1; A1CD; A1D; A1U; C; D,Rx-PI,
PM25781986,25781986,2015,,647,22,High Frequency of Transmitted HIV-1 Gag HLA Class I-Driven Immune Escape Variants but Minimal Immune Selection over the First Year of Clade C Infection,"Gounder,K., Padayachi,N., Mann,J.K., Radebe,M., Mokgoro,M., van der Stok,M., Mkhize,L., Mncube,Z., Jaggernath,M., Reddy,T., Walker,B.D. and Ndung'u,T.",A1C; C,Naive,
PM18369479,18369479,2008,,311,21,Transmission of HIV-1 CTL escape variants provides HLA-mismatched recipients with a survival advantage,"Chopera,D.R., Woodman,Z., Mlisana,K., Mlotshwa,M., Martin,D.P., Seoighe,C., Treurnicht,F., de Rosa,D.A., Hide,W., Karim,S.A., Gray,C.M. and Williamson,C.",C,Naive,
PM20156095,20156095,2010,,22,21,"Evaluation of HIV type 1 strains in men having sex with men and in female sex workers in Mombasa, Kenya","Tovanabutra,S., Sanders,E.J., Graham,S.M., Mwangome,M., Peshu,N., McClelland,R.S., Muhaari,A., Crossler,J., Price,M.A., Gilmour,J., Michael,N.L. and McCutchan,F.M.",A1; A1A2CD; A1A2D; A1C; A1D; DG,Naive,
PM20430786,20430786,2010,,21,21,Evolution of protease inhibitor resistance in the gag and pol genes of HIV subtype G isolates,"Knops,E., Daumer,M., Awerkiew,S., Kartashev,V., Schulter,E., Kutsev,S., Brakier-Gingras,L., Kaiser,R., Pfister,H. and Verheyen,J.",G,Rx-PI,
PM26115688,26115688,2015,,24,21,Subtype-independent near full-length HIV-1 genome sequencing and assembly to be used in large molecular epidemiological studies and clinical management,"Grossmann,S., Nowak,P. and Neogi,U.",01B; 01_AE; 02_AG; B; C,Naive,
HSCNv6bgceJe9mcDw4UQB6Bw,,,,20,20,Genetic characterization of HIV-1 strains among different risk groups of Nepalase patients from central region of Nepal,"Bhusal,N., Sutthent,R., Horthongkham,N., Kantakamalakul,W. and Athipanyasilp,N.",A1; C; CD,Check,Unclear if related to     27697032
HSX_KISyrIK_JP7BeEYGpD7Q,,2013,,90,20,Direct Submission,"Wei,H.",01BC; 01C; 01_AE; 64_BC; 87_cpx; 88_BC; BC; C,Unpublished,
PM25919760,25919760,2015,,40,20,Genetic Changes in HIV-1 Gag-Protease Associated with Protease Inhibitor-Based Therapy Failure in Pediatric Patients,"Giandhari,J., Basson,A.E., Coovadia,A., Kuhn,L., Abrams,E.J., Strehlau,R., Morris,L. and Hunt,G.M.",C,Rx-PI,
PM25654164,25654164,,,21,19,A new HIV-1 B/F1 unique recombinant form (URF) outbreak in Luxembourg: near full-length genome characterization and phylogenetic analysis,"Struck,D., Roman,F., Lambert,C., Masquelier,C., Servais,J.-Y., Arendt,V., Hemmer,R., Staub,T., Devaux,C. and Schmit,J.-C.",42_BF,Naive,
HSWtUGGM7pI3vPYpP0y8MhGw,,,,21,18,The presence of gag cleavage site substitutions in HIV-1 subtype C infected patients failing on PI based ART regimen in India,"Chaturbhuj,D., Pandey,S., Bembalkar,S., Paranjape,R. and Tripathy,S.",A1C; C,Rx-PI,
HSyP72qgHnMw0_dc6j-MkLBw,,2015,,18,18,Direct Submission,"Cuevas,M.T., Delgado,E., Sanchez-Martinez,M., Thomson,M., Carrera,C., Montero,V. and Perez-Alvarez,L.",02A; 02B; 20_BG; B; BF1; C; F1; G,Unpublished,
PM12829813,12829813,2003,,18,18,Infectivity and replication capacity of drug-resistant human immunodeficiency virus type 1 variants isolated during primary infection,"Simon,V., Padte,N., Murray,D., Vanderhoeven,J., Wrin,T., Parkin,N., Di Mascio,M. and Markowitz,M.",B,Rx,
PM17356464,17356464,2007,,61,18,Identification of 3 phylogenetically related HIV-1 BG intersubtype circulating recombinant forms in Cuba,"Sierra,M., Thomson,M.M., Posada,D., Perez,L., Aragones,C., Gonzalez,Z., Perez,J., Casado,G. and Najera,R.",20_BG; 23A1; 23_BG; 24_BG; B; G,Unknown,
