PubID,PubIDCorrection,PMID,PubYr,NumIsolates,Title,Authors,RxStatus,Notes
HSxLJdcvAxBfbU0fj8uFpR-Q,,,,143,Replication-competent non-induced proviruses in the latent reservoir increase barrier to HIV-1 cure,"Ho,Y.-C., Shan,L., Hosmane,N.N., Wang,J., Laskey,S",Rx,
HSQXG-s4Y1EyGLm6t9KEMmtQ,,,,8,Near Full-Length Genome Sequences of HIV-1 CRF06/A1 recombinat forms in Estonian Intravenous Drug Us,"Avi,R. and Lutsar,I.",Unpublished,
HSzxjyh7ER5g8bbo28-OQedQ,,,,12,Infectious HIV-1 molecular clones generated for clonally expanded viruses in chronically infected in,"Hora,B., Berg,A., Cai,F., Kumar,A., Chen,S. and Ga",Check,
HS-Ggtsp7Yi8GQa9l2vK5jVw,,,,6,Infectious DNA clones of subtype G and CRF02_AG HIV-1 derived from Ghananian isolates,"Tatsumi,M., Kinomoto,M., Nii-Trebi,N., Sakamoto,Y.",Unpublished,
HSBxDdcAujwSKHYna4_1MXNQ,,,,161,Analysis of recombinant viral genomes in individuals infected with multiple transmitted/founder HIV-,"Song,H., Cai,F., Chen,S., Hoper,J., Jiang,C. and G",Unpublished,
HShHsDtLGPTODWBXe---NcsQ,,,,13,Direct Submission,"Bernardin,F., Bader,Y.-D., Sekaly,R.-P., Bernard,N",Unpublished,
HS7q0jf9bOgAvDtPwEIpbF7Q,,,,10,Construction and characterization of HIV-1 CRF02_AG infectious molecular clones derived from Ghanaia,"Sakamoto,Y., Takekawa,N., Ampofo,W., Sata,T. and T",Unpublished,
HSRLuZL0-XQKFOH12qC19QBA,,,,10,Construction and characterization of infectious molecular clones derived from japanese blood donors,"Umeki-Sakamoto,Y., Takekawa,N. and Tatsumi,M.",Unpublished,
,,,,8,Construction and characterization of naive HIV-1 subtypeB infectious molecular clones derived from J,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",Unpublished,
HSw8LI3rPpiwTO5a3-1-prjA,,,,5,Maximum Likelihood Analysis of Clock-Like Behavior in HIV: Implications on Dating Strategies in HIV ,"Lemey,P., Salemi,M., Wang,B., Saksena,N.K. and Van",Unpublished,
HS2tVwk45czaRrDAO0eT1zVw,,,,5,Infectious DNA clones of CRF01_AE HIV-1 derived from Thainian isolates,"Sakamoto,Y., Takekawa,N., Sakai,K. and Tatsumi,M.",Unpublished,
,,,,5,Direct Submission,"Wei,H.",Unpublished,
HS3u9rrsQwRlS9NYzHWTl86Q,,,,48,Construction and characterization of HIV-1 subtype A and CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
HSWtUGGM7pI3vPYpP0y8MhGw,,,,21,The presence of gag cleavage site substitutions in HIV-1 subtype C infected patients failing on PI b,"Chaturbhuj,D., Pandey,S., Bembalkar,S., Paranjape,",Rx-PI,
,,,,12,Direct Submission,"Delgado,E., Thomson,M., Fernandez-Garcia,A., Cueva",,
HStUMEUzQK3Q1aeQAYC8ilsg,,,,12,HIV-1 Sequence Variation Occurs in CD4 Epitopes,"Rychert,J.A., Loisel,S.D., Daskalakis,D.C. and Ros",,
HSD3hsttjF4cJESlB_WXJPBQ,,,,5,Genomic sequence of HIV-1 from four members of the Sydney Blood Bank Cohort of long term non-progres,"Oelrichs,R.B., McPhee,D.A. and Deacon,N.J.",,
HS0tNvrrpbU1Vq7b9zwHiJWw,,,,4,Near full length HIV-1 subtype B from Cuban individuals,"Blanco,M., Machado,L.Y., Martinez,O., Diaz,H.M., N",,
HS267aH-Sby6Ygxr0WIJCmJA,PM27314585,27314585,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Tadokoro,K",,
HSHqtqGgopQQkVQJS2BeN5Qg,PM27314585,27314585,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HSySmMW3uN-H6wGPMP8oU62Q,PM27314585,27314585,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HS0V99Vf2dINd30YS2W7-X3g,PM27314585,27314585,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,4,Sequence Diversity of HIV-1 Genomes from the HIV Vaccine Trials Network,"McLaughlin,S., Learn,G.H., Heath,L.M., Nickle,D., ",,
HSIbHTIabTf5raPS-2fJRuJQ,,,,49,Direct Submission,"Tongo Passo,M.",Unpublished,
HSZuxY2tLpVgl--JV1iRStfA,PM27314585,27314585,,8,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Ragupathy,V., Hewlet",,
,,,,8,Molecular characterization of infectious molecular clones derived from mult-idrug-resistant HIV-1 su,"Umeki-Sakamoto,Y., Ibe,S., Hattori,J., Iwatani,Y.,",,
,,,,6,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious molecular clo,"Hirano,R. and Tatsumi,M.",,
HSyirkofFsvaP4woTWEZW4jQ,PM27314585,27314585,,6,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Hora,B., Chen,Y., Denny,T.N., Cui,H., Sun",,
,,,,5,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious molecular clo,"Umeki-Sakamoto,Y., Hirano,R. and Tatsumi,M.",,
,,,,4,Evidence for two distinct sub-subtypes within the HIV-1 subtype A radiation,"Gao,F., Vidal,N., Li,Y., Trask,S.A., Chen,Y., Kost",,
,,,,3,"Sequencing and phylogenetic analysis of near full-length HIV-1 subtypes H and J from Cabinda, Angola","Bartolo,I., Calado,R., Borrego,P. and Taveira,N.",,
,,,,3,"Genetic analysis of nearly full-length genome sequences of HIV-1, circulating in Russia","Baryshev,P.B., Gashnikova,N.M. and Bogachev,V.V.",,
,,,,3,Novel multi-region hybridization assay for the identification of the most prevalent genetic forms of,"Freitas,F.B., Esteves,A., Piedade,J. and Parreira,",,
HS7dWfkdN5HUcC9DTxUsUCrw,PM27314585,27314585,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Busch,M., Vermeulen,M., Denny,T.",,
,,,,3,Direct Submission,"Hora,B., Chen,Y., Denny,T. and Gao,F.",,
HSEgZeShIXLIULTLJHUXjbYg,PM27314585,27314585,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Briesen,H.V. and Gao",,
HStPv9mEB4BMUunZ13GIx5AA,PM27314585,27314585,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Laperche,S",,
HS0V99Vf2dINd30YS2W7-X3g,PM27314585,27314585,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,3,Near Full-Length Genomic Characterization of a Novel HIV Type 1 CRF01_ AE/07_BC Recombinant in Men W,"Ke,Z. and Yongtao,S.",,
,,,,3,Analysis of near full-length genome sequences of HIV-1 isolates of Romanian origin,"Sierra,M., Delgado,E., Munoz,M., Vega,Y., Vazquez ",,
,,,,3,Sequence analysis of near full-length Human immunodeficiency virus type 1 sequences from Guinea-Biss,"Vinner,L., Holmgren,B., Karlsson,I., Esbjornsson,J",,
HS0sSLdxL7fiWW224WwiNxJQ,,,,95,DNA/MVA Vaccination of Drug-Treated HIV Patients; Elicitation of Immune Responses Without Control of,"Thompson,M., Heath,S., Brown,S.J., Sweeton,B., Wil",,
HS5c2D3mQ_6x8SxgH3uS-pSg,,,,65,Poor HIV control in HLA-B*27 and -B*57/58 non-controllers is resulted from limited number of polyfun,"Techakriengkrai,N., Tansiri,Y. and Hansasuta,P.",,
HSdZ6YAqtkBeAa7rvxEIIoGQ,PM27551154,27551154,2016,46,The Balance Between Transmitted Pre-adapted and Non-adapted Polymorphisms in the Gag Protein is a Ma,"Monaco,D., Dilernia,D., Gartland,A., Yu,T., Prince",Naive,
HScD4tBQu0ekWo15k9ON5Xfw,,,,45,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious clones,"Sakamoto,Y., Takekawa,N., Hashimoto,O., Matsuda,M.",,
HSdwa103xJHcyrkexOu9yjGg,,,,35,HIV-1 superinfection with a triple class drug resistant strain in a patient successfully controlled ,"Mullins,J.I., Pantaleo,G., Bart,P.-A., Castro,E., ",,
,,,,5,HIV-1 Evolution Following Transmission to an HLA-B*5801 Positive Subject,"Blankson,J.N., OConnell,K.A. and Siliciano,R.F.",,
,,,,5,A new generation of recombinants between CRF02_AG and subtype A detected in Ghana : analysis by infe,"Takekawa,N., Sakamoto,Y., Kinomoto,M., Nii-Trebi,N",,
,,,,4,Construction and characterization of HIV-1 CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,4,Construction and characterization of naive HIV-1 subtype A infectious molecular clones derived from ,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,4,Construction and characterization of mosaic HIV-1 infectious molecular clones among CRF02_AG and CRF,"Sakamoto,Y., Takekawa,N., Ampofo,W., Sata,T. and T",,
,,,,4,Molecular characterization of subtype F infectious molecular clones possibly derived from Brazil,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,4,Construction and characterization of multidrug-resistant HIV-1 subtype B infectious molecular clones,"Sato,M., Takekawa,N., Sakamoto,Y., Nishizawa,M., S",,
,,,,4,Molecular characterization of infectious molecular clones derived from multidrug-resistant HIV-1 sub,"Takekawa,N., Nishizawa,M., Sugiura,W. and Tatsumi,",,
,,,,4,Infectious DNA clones of HIV-1 subtype A,"Tatsumi,M. and Matsuda,M.",,
,,,,2,Infection with defective virus results in different clinical outcomes of infection in three HIV-1 in,"Buckheit,R.W. III and Blankson,J.N.",,
,,,,2,Near full-length sequences of HIV-1 in Korean infected with Korean subclade B,"Cho,Y.-K.",,
,,,,2,New and Old Complex Recombinant HIV-1 Strains Among Patients with Primary Infection in 1996-2006 in ,"Frange,P., Galimand,J., Vidal,N., Goujard,C., Deve",,
,,,,2,Complete genomes of HIV-1 subtype C viruses in South Africa,"Gao,F.",,
HSHqtqGgopQQkVQJS2BeN5Qg,PM27314585,27314585,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HSHqtqGgopQQkVQJS2BeN5Qg,PM27314585,27314585,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HSBTP47mj3bd_jXV7mu-pp9w,PM27314585,27314585,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Nitayaphan,S., Robb,M., Eller,L.",,
,,,,2,Direct Submission,"Laukkanen,T. and Salminen,M.O.",,
,,,,2,"Near Full-length Genome Analyses of a Novel HIV-1 Circulating Recombinant Form, CRF63_01B, Identifie","Li,X.",,
,,,,2,Sequence and characterization of full-length genome of two HIV-1 strains isolated from two infected ,"Miao,W., Liu,Y., Wang,Z., Zhuang,D., Bao,Z., Li,H.",,
,,,,2,Two new complete genomes of HIV-1 recombinant AGJ BFP90-like circulating in Mali and Senegal,"Montavon,C., Delaporte,E. and Peeters,M.",,
,,,,2,Persistent seronegativity in an asymptomatic 27-month-old child with vertical HIV-1-infection,"Thitithanyanont,A., Kanchongkittiphon,W., Gesprase",,
,,,,2,Identification of a novel HIV-1 complex circulating recombinant form (CRF18_cpx) of Central African ,"Thomson,M., Casado,G., Sierra,M. and Najera,R.",,
,,,,95,HIV Subtypes Distribution and Implication for Antiretroviral Treatment in a Ugandan Population,"Baker,C.A.R., Bousheri,S., Ssewanyana,I., Jones,N.",,
HSjQucj49kexhVGzYcL6e96A,,,,31,Characterization of clonally expanded HIV-1 sequences in chronically infected individuals,"Hora,B., Berg,A., Cai,F., Kumar,A., Chen,S. and Ga",,
HSZzi2glfFgEgDhXOzAgkthg,,,,23,Transition from Long-Term Nonprogression to HIV-1 Disease Associated with Escape from Cellular Immun,"Kemal,K.S., Beattie,T., Dong,T., Weiser,B., Kuiken",,
HS9EmYMILIDX7rtW7qHOx1DA,,,,10,"Molecular characterization of non-subtype C and recombinant HIV-1 viruses from Cape Town, South Afri","Wilkinson,E. and Engelbrecht,S.",,
,,,,9,Frequent genetic defects in long-term survivors for more than 26 years in the absence of antiretrovi,"Cho,Y.-K.",,
HSMvOFfZLwuIWqZ-kJFy8BHg,PM27314585,27314585,,9,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Cuevas,T., Delgado,E",,
,,,,9,Utility of Unbiased Next-Generation Sequencing for Characterization of HIV Diversity,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Fed",,
,,,,8,Reconstruction of Residual HIV-1 from Plasma Viral RNA of a Patient on Suppressive Antiretroviral Th,"Rassler,S., Khoury,N., Skowron,G. and Sahu,G.K.",,
,,,,6,Molecular characterization of infectious molecular clones derived from HIV-1 CRF08_BC isolates in Yu,"Nagai,M., Umeki-Sakamoto,Y., Kusagawa,S., Takebe,Y",,
,,,,5,Differential loss of human immunodeficiency virus type I (HIV-1)-specific T-helper responses in two ,"Geels,M.J., Jansen,C., Baan,E., De Cuyper,I.M., va",,
,,,,4,Construction and characterization of multidrug-resistant HIV-1 subtypeB infectious molecular clones ,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,3,The dynamics of sequence insertions in HIV Type 1 subtype C p6 in drug naive patients from India,"Sharma,S., Hewlett,I., Solomon,S. and Ranga,U.",,
,,,,2,Optimization of full-length sequencing of HIV type 1 from Senegal,"Aman,S., Borggren,M., Fomsgaard,A., Kebe,K. and Ja",,
,,,,2,"Construction and characterization of infectious molecular clones deriver from HIV-1, URF between sub","Nagai,M., Kondo,M. and Tatsumi,M.",,
HSgn0jzKLEkD88UYdBmiCIig,,,,2,Construction and characterization of infectious molecular clones derived from japanese blood donors,"Nagai,M., Takekawa,N. and Tatsumi,M.",,
,,,,2,Construction and characterization of HIV-1 BF recombinant infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,2,Construction and characterization of HIV-1 subtype A infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,2,Construction and characterization of an unique mosaic HIV-1 subtype C infectious molecular clones de,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,2,Infectious molecular clones of subtype B HIV-1 derived from Japanese patients,"Sakamoto,Y., Takekawa,N., Sakai,K., Sugiura,W., Ni",,
,,,,2,"Characterization of HIV-1 full length gag gene from IDU of Manipur, India","Sengupta,S. and Chakrabarti,S.",,
,,,,2,Molecular characterization of infectious molecular clones derived from naive subtype B HIV-1 in Japa,"Takekawa,N., Nishizawa,M., Sugiura,W. and Tatsumi,",,
,,,,1,Subtype A strain of HIV-1 from Uganda,"Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,1,Direct Submission,"Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,1,"HIV-1 isolate VI354 from Gabon, complete genome","Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,1,"HIV-1 isolate SE8603 from Uganda, complete genome","Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,1,Slow Immunologic Progression in Injecting Drug Users Infected with Human Immunodeficiency Virus Type,"Chang,S.-Y. and Hung,C.-C.",,
,,,,1,Sequence of a HIV-1 Subtype F that is underquantified by Roche COBAS TaqMan and COBAS Amplicor Virus,"Eberle,J. and Jauer,C.M.",,
,,,,1,Sequence of the gag gene of a HIV-1 Subtype A1 that is underquantified by Roche COBAS TaqMan,"Eberle,J., Jauer,C.M. and Taylor,N.",,
,,,,1,Full-length HIV-1 subtype G molecular clone,"Esteves,A.M. and Freitas,S.P.",,
,,,,1,Cloning and Characterization of a Virtually Full-Length HIV-1 Genome of a Prevalent Subtype B-Thai S,"Fumin,F., Zuoyi,B., Daomin,Z., Siyang,L., Lin,L. a",,
,,,,1,Sequencing and analysis of full-length HIV-1 CRF06_cpx isolate from Russia,"Galkin,A.N., Gagarina,E.Y. and Lukyanova,N.S.",,
,,,,1,Cloning and Sequencing of HIV-1 Gag (C-subtype) from Indian strain,"Gupta,S., Arora,K., Gupta,A. and Chaudhary,V.K.",,
HSn1w7kCKopPQXBZGaFXz48w,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Busch,M., Sauleda,S., Denny,T.N.",,
HStAZ6ppNZQ9Djar8m_RpUrw,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Schmidt,M.",,
HSq7Ejg25Rjy3Yz7HAaKjleg,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Sabino,E., Busch,M. ",,
HS0V99Vf2dINd30YS2W7-X3g,PM27314585,27314585,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,1,Complete sequence of type B HIV-1 Taiwan strain,"Huang,L.-M., Chen,M.-Y. and Chuang,C.-Y.",,
,,,,1,Sequence of HIV-1 isolate 01IN565.10 from India,"Khurana,S., Patel,A., Kulkarni,S.S., Tripathy,S.P.",,
,,,,1,Near Full-Length Sequence Analysis of HIV CRF01_AE/B Recombinant from Thailand,"Laomanit,L. and Ngo-Giang-Huong,N.",,
,,,,1,Maximum Likelihood Analysis of Clock-Like Behavior in HIV: Implications on Dating Strategies in HIV ,"Lemey,P., Salemi,M., Wang,B., Saksena,N.K. and Van",,
,,,,1,Direct Submission,"Li,J., Li,L., Li,H., Li,J. and Yang,S.",,
,,,,1,Analysis of the near full-length genomic characterization of HIV-1 subtype G detected in Guangxi for,"Li,L., Chen,L.-L., Li,T.-Y. and Liang,S.-J.",,
,,,,1,Nucleotide sequence of a Cambridge isolate of human immunodeficiency virus type 1,"McIntosh,A.A. and Karps,A.",,
,,,,1,HIV-1 viremia controllers,"Miura,T.",,
,,,,1,HIV-1 subtype C/Denv/C recombinant from Botswana,"Novitsky,V.",,
,,,,1,Near full-length proviral sequence of HIV-1 from an individual homozygous for the delta-32 CCR5 alle,"Oelrichs,R.",,
,,,,1,Sequence of HIV-1 subtype B gag gene poorly detected by both RT-PCR and P24 monoclonal during sympto,"Oelrichs,R.B. and Workman,C.",,
,,,,1,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious clones,"Sakamoto,Y., Takekawa,N., Hashimoto,H., Matsuda,M.",,
,,,,1,Direct Submission,"Sasinovich,S., Eremin,V., Gasich,E. and Thomson,M.",,
,,,,1,Near full-length genome characterization of phylogenetically related HIV-1 BG intersubtype recombina,"Sierra,M., Thomson,M.M., Casado,G. and Najera,R.",,
,,,,1,Full-length HIV-1 CRF01_AE sequence,"Subbarao,S., Ramos,A. and Nguyen,L.",,
,,,,1,Molecular characterization of infectious molecular clones derived from multidrug-resistant HIV-1 sub,"Takekawa,N., Uchiyama,C., Nishizawa,M., Sugiura,W.",,
,,,,1,Infectious DNA clones of subtype B HIV-1,"Tatsumi,M., Takebe,Y. and Kusagawa,S.",,
,,,,1,,"Theodore,T. and Buckler-White,A.J.",,
,,,,1,Direct Submission,"Thomson,M., Casado,G., Posada,D., Sierra,M. and Na",,
,,,,1,HIV-1 subtype C gag gene from an incident infection identified in Tanzania,"Tovanabutra,S., Sanders-Buell,E., Arroyo,M.A., Mab",,
,,,,1,Direct Submission,"Tsui,S.K.W., Au,T.C.C., Wong,C.H., Fong,N.Y., Chan",,
,,,,1,Direct Submission,"Tsui,S.K.W., Au,T.C.C., Wong,C.H., Fong,N.Y., Chan",,
,,,,1,Genetic variability of HIV-1 strains in Chad: high prevalence of recombinant strains and identificta,"Vidal,N.",,
,,,,1,Genetic variability of HIV-1 strains in chad: high prevalence of recombinant strains and identificat,"Vidal,N.",,
,,,,1,Direct Submission,"Wang,H., Luo,P. and Zhu,H.",,
,,,,1,Near Full-Length Genome Identification of a Novel HIV type 1 CRF01_AE/B /C Recombinant Isolate in Si,"Wang,Y.",,
,,,,1,Identification of a novel HIV-1 unique (B/C) recombinant isolate in Sichuan of China,"Wang,Y.",,
,,,,1,Identification of new recombinant of CRF22 with subtype A1 or CRF02_AG of HIV-1 in Cameroon,"Zhao,J., Tang,S., Viswanath,R., Wang,X., Awazi,B. ",,
,,,,695,Evaluating chemical and evolutionary information for RNA secondary structure determination,"Fogel,G.B. and Summers,M.F.",,
,,,,573,Emergence of cytotoxic T lymphocyte escape mutants following antiretroviral treatment suspension in ,"Kunstman,K.J., Nacsa,J., Stanton,J., Watkins,D.I.,",,
,,,,572,HIV-1 strain diversity was stable in Cameroonian blood donors from 1996 to 2004,"Brennan,C.",,
,,,,499,HLA Class-I Driven Evolution of Human Immunodeficiency Virus Type 1 Subtype C Proteome: Immune Escap,"Rousseau,C.M., Daniels,M.G., Carlson,J.M., Kadie,C",,
,,,,415,HIV-1 subtype C is not associated with higher risk of heterosexual HIV-1 transmission: a multination,"Kahle,E.M., Campbell,M.S., Lingappa,J.R., Donnell,",,
HS5iQLKRUvPxd_NoNQ9QwU9A,,,,390,Transmission of Homogenous Gag after HIV Infection is not dependent on pressure from CTL escape,"Klatt,N.R., Hawkins,P., Lumm,W., Farmer,P., Bansal",Unpublished,
,,,,331,HIV-1 evolution in gag and env is highly correlated but exhibits different relationships with viral ,"Piantadosi,A.L., Chohan,B. and Overbaugh,J.",,
,,,,288,Adaptation of HIV-1 to HLA I,"Matthews,P., Goulder,P. and Shapiro,R.",,
,,,,277,Changing subtype dominance and shift in resistance of HIV-1 in the southwest border of China,"Chen,S., Chen,Y.Y. and Lu,W.",,
,,,,267,Transmitted and de novo cellular immune escape drive HIV-1 disease progression,"Carlson,J.M., Du,V.Y., Pfeifer,N., Bansa,A., Brumm",,
,,,,254,The role of cytolytic and non-lytic effects of CD8+ T-cells in the control of productive lentiviral ,"Wong,J.K., Strain,M.C., Porrata,R., Reay,E., Sanka",,
,,,,237,Monitoring of HIV-1 drug resistance and associated programmatic factors in patients initiating antir,"Nzeyimana,S.D., Baramperanye,E., Mouacha,F., Ninda",,
,,,,227,HIV-1 Gag variation during disease progression,"Mant,C.A. and Cason,J.W.",,
,,,,227,Identification of shared populations of HIV-1 infecting microglia and tissue macrophages outside the,"Wang,T.-H., Donaldson,Y.K., Brettle,R.P., Bell,J.E",,
,,,,223,"Phylogenetic characteristics of HIV-1 infection among Myanmar entering Yunnan, China between 2003 an","Xia,X., Liang,Y., Zhang,L., Wang,B. and Feng,Y.",,
,,,,216,Genotypic Resistance to Efavirenz/Protease Inhibitor Regimens,"Anton,E.D., Wallace,L., Li,J., Abremski,K. and Bac",,
,,,,203,"Molecular epidemiology of HIV-1 in Siberia, Russia","Totmenin,A.V., Bogatchev,V.V., Baryshev,P.B., Chub",,
,,,,196,"Molecular characteristic of HIV-1 circulating in Hetian, Xingjiang","Wu,J., Guo,H. and Su,B.",,
,,,,178,Molecular epidemiology and drug resistance of HIV type 1 in patients within late-stage infection in ,"CHEN,S., CAI,W.P., VIDAL,N., HE,J.Y., HE,X.L. and ",,
,,,,172,Tenofovir Disoproxil Fumarate based regimens associated with less nucleoside reverse transcriptase i,"Etiebet,M.-A., Carr,J.K., Shepherd,J., Gebi,U., Aj",,
,,,,169,HIV diversity in Venezuela: predominance of HIV-1 subtype B and genomic characterization of non B vi,"Rangel,H.R., Garzaro,D., Gutierrez,C.R., Vasquez,L",,
,,,,168,Molecular Characterization of the HIV-1 Nucleocapsid Gene Associated with Vertical Transmission,"Wellensiek,B.P., Sundavaradan,V., Ramakrishnan,R. ",,
,,,,164,Association of high frequency of gross deletions in the pol and 5 LTR/gag genes with Korean red gins,"Cho,Y.-K.",,
,,,,162,"Drug-resistant associated mutations in RT of AIDS patients with ART in Hubei, China","Tang,H., Zhong,P., Shao,Y., Yang,R., Tong,X. and W",,
,,,,159,Differential Distribution and Evolution of HIV-1 RNA Variants in the Gastrointestinal Tract of Antir,"Mahasha,P.W., Cassol,E., Danaviah,S., Bond,R., See",,
,,,,156,Distribution of HIV-1 subtypes in female sex workes recently infected with HIV-1 in Thailand,"Saeng-aroon,S. and Motomura,K.",,
,,,,138,Direct Submission,"Kearney,M.",,
,,,,118,HLA-B27,"Ammaranond,P., Cooper,D. and Kelleher,A.",,
