Accession,Subtype,SamplingYear,PubMedID,Title,Authors,PubYear
AB074049,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074052,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074054,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074057,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074059,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074061,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074064,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074067,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074070,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074073,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB074076,B,,,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1 infected patients under long-term anti-retroviral drug therapy,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Nagai,Y. and Ariyoshi,K.",
AB078005,B,1997,12402946,Isolation and characterization of an infectious HIV type 1 molecular clone from a patient with primary infection,"Takeuchi,H., Suzuki,Y., Tatsumi,M., Hoshino,H., Daar,E.S. and Koyanagi,Y.",2002
AB078678,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078679,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078680,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078681,07_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078682,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078683,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078684,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078685,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078686,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078687,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078688,BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078689,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078690,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078691,BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078692,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078693,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078694,07_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078695,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078696,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078697,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078698,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078699,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078700,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078701,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078702,08_BC,2000,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078703,B,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078704,B,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078705,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078706,01B,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078707,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078708,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078709,B,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078710,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078711,B,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078712,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078713,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078714,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078715,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB078716,BC,2001,12131217,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",2002
AB090997,BC,,12477871,"Identification and characterization of a new class of human immunodeficiency virus type 1 recombinants comprised of two circulating recombinant forms, CRF07_BC and CRF08_BC, in China","Yang,R., Kusagawa,S., Zhang,C., Xia,X., Ben,K. and Takebe,Y.",2003
AB097865,01B,2000,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097866,01BC,2000,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097867,01B,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097868,01BC,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097869,BC,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097870,B,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097871,C,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097872,01_AE,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB097873,BC,1999,,High prevalence of diverse forms of HIV-1 intersubtype recombinants in Central Myanmar: geographical hot spot of extensive recombination,"Takebe,Y., Motomura,K., Tatsumi,M., Lwin,H., Zaw,M. and Kusagawa,S.",
AB098330,A1,,,Infectious DNA clones of HIV-1 subtype A,"Tatsumi,M. and Matsuda,M.",
AB098332,A1,1992,,Infectious DNA clones of HIV-1 subtype A,"Tatsumi,M. and Matsuda,M.",
AB213667,B,1994,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213668,B,1995,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213669,01_AE,1996,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213670,B,1996,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213671,08_BC,1996,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213672,B,1996,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213673,07_BC,1997,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213674,08_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213675,07_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213676,07_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213677,07_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213678,08_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213679,08_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213680,07_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213681,08_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213682,08_BC,2001,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213683,08_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213684,07_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213685,08_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213686,07_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213687,08_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213688,08_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213689,07_BC,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213690,0108,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213691,0107,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB213692,B,2002,16386117,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",2005
AB220948,01_AE,1993,,Infectious DNA clones of CRF01_AE HIV-1 derived from Thainian isolates,"Sakamoto,Y., Takekawa,N., Sakai,K. and Tatsumi,M.",
AB221005,B,1985,,Infectious DNA clones of subtype B HIV-1,"Tatsumi,M., Takebe,Y. and Kusagawa,S.",
AB221125,B,2004,,Infectious molecular clones of subtype B HIV-1 derived from Japanese patients,"Sakamoto,Y., Takekawa,N., Sakai,K., Sugiura,W., Nishizawa,M. and Tatsumi,M.",
AB231893,G,2003,,Infectious DNA clones of subtype G and CRF02_AG HIV-1 derived from Ghananian isolates,"Tatsumi,M., Kinomoto,M., Nii-Trebi,N., Sakamoto,Y., Tokunaga,K., Ampofo,W., Ofori-Adjei,D., Kurata,T. and Sata,T.",
AB253421,A1,1992,,Construction and characterization of HIV-1 subtype A and CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",
AB253423,01_AE,,,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious clones,"Sakamoto,Y., Takekawa,N., Hashimoto,H., Matsuda,M., Nishizawa,M., Sugiura,W. and Tatsumi,M.",
AB253424,01_AE,1993,,Construction and characterization of HIV-1 CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",
AB253426,01_AE,,,Construction and characterization of HIV-1 CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",
AB253428,A1,1992,,Construction and characterization of HIV-1 subtype A infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",
