PubID,PubIDCorrection,PMID,PubYr,NumPts,NumIsolates,Title,Authors,RxStatus,
,,,,,5,Potent broad cross-neutralising sera inhibit attachment of primary HIV-1 isolates (group M and O) to,"Beirnaert,E., De Zutter,S., Janssens,W. and Van de",,
,,,,,5,Maximum Likelihood Analysis of Clock-Like Behavior in HIV: Implications on Dating Strategies in HIV ,"Lemey,P., Salemi,M., Wang,B., Saksena,N.K. and Van",,
,,,,,5,Genetic and functional analysis of HIV-1 envelope from long-term non-progressors,"Martinez,L. and Delgado,R.",,
,,,,,5,Acute Subtype B SGA env Z Patients,"Ping,L.-H., Anderson,J.A., Takamune,N. and Swanstr",,
,,,,,5,Infectious DNA clones of CRF01_AE HIV-1 derived from Thainian isolates,"Sakamoto,Y., Takekawa,N., Sakai,K. and Tatsumi,M.",,
,,,,,5,"Virus, Host and Disease Factors Govern HIV-1 Broadly Neutralizing Antibody Induction","Trkola,A. and Rusert,P.",,
,,,,,5,Direct Submission,"Wei,H.",,
,,,,,48,Construction and characterization of HIV-1 subtype A and CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,16,Direct Submission,"Bernardin,F., Bader,Y.-D., Sekaly,R.-P., Bernard,N",,
,,,,,5,Genomic sequence of HIV-1 from four members of the Sydney Blood Bank Cohort of long term non-progres,"Oelrichs,R.B., McPhee,D.A. and Deacon,N.J.",,
HS0tNvrrpbU1Vq7b9zwHiJWw,,,,,4,Near full length HIV-1 subtype B from Cuban individuals,"Blanco,M., Machado,L.Y., Martinez,O., Diaz,H.M., N",,
,,,,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Tadokoro,K",,
HSHqtqGgopQQkVQJS2BeN5Qg,,,,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HSySmMW3uN-H6wGPMP8oU62Q,,,,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
HS0V99Vf2dINd30YS2W7-X3g,PM24447533,24447533,,,4,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,,4,Sequence Diversity of HIV-1 Genomes from the HIV Vaccine Trials Network,"McLaughlin,S., Learn,G.H., Heath,L.M., Nickle,D., ",,
,,,,,4,"CRF45_AKU, a new circulating recombinant form from Central Africa, is the common ancestor of HIV-1 M","Niama,F.R., Vidal,N., Bazepeo,S.E., Mpoudi,E., Par",,
,,,,,145,Single genome sequencing reveals distinguishing envelope characteristics between non-progressors and,"Archary,D., Gordon,M.L., Green,T.N., Coovadia,H., ",,
,,,,,91,Direct Submission,"Bailer,R., Bhattacharya,T., Chen,Y., DeCamp,A., Ga",,
,,,,,10,"Molecular characterization of non-subtype C and recombinant HIV-1 viruses from Cape Town, South Afri","Wilkinson,E. and Engelbrecht,S.",,
,,,,,8,Molecular characterization of infectious molecular clones derived from mult-idrug-resistant HIV-1 su,"Umeki-Sakamoto,Y., Ibe,S., Hattori,J., Iwatani,Y.,",,
,,,,,7,Direct Submission,"Ringe,R., Gharu,L., Pandey,S., Satyakumar,A., Thak",,
,,,,,6,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious molecular clo,"Hirano,R. and Tatsumi,M.",,
,,,,,6,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Hora,B., Chen,Y., Denny,T.N., Cui,H., Sun",,
,,,,,6,Molecular characterization of infectious molecular clones derived from HIV-1 CRF08_BC isolates in Yu,"Nagai,M., Umeki-Sakamoto,Y., Kusagawa,S., Takebe,Y",,
,,,,,5,Evidence for two distinct sub-subtypes within the HIV-1 subtype A radiation,"Gao,F., Vidal,N., Li,Y., Trask,S.A., Chen,Y., Kost",,
,,,,,5,Direct Submission,"Ringe,R., Gharu,L., Pandey,S., Satyakumar,A., Thak",,
,,,,,5,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious molecular clo,"Umeki-Sakamoto,Y., Hirano,R. and Tatsumi,M.",,
,,,,,4,HIV-1 Group O and M sequence comparisons,"Korber,B.T.",,
,,,,,3,"Sequencing and phylogenetic analysis of near full-length HIV-1 subtypes H and J from Cabinda, Angola","Bartolo,I., Calado,R., Borrego,P. and Taveira,N.",,
,,,,,3,"Genetic analysis of nearly full-length genome sequences of HIV-1, circulating in Russia","Baryshev,P.B., Gashnikova,N.M. and Bogachev,V.V.",,
,,,,,3,Novel multi-region hybridization assay for the identification of the most prevalent genetic forms of,"Freitas,F.B., Esteves,A., Piedade,J. and Parreira,",,
,,,,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Busch,M., Vermeulen,M., Denny,T.",,
,,,,,3,Direct Submission,"Hora,B., Chen,Y., Denny,T. and Gao,F.",,
,,,,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Laperche,S",,
HSyn5UbyrTbgFX122_d_GJdA,PM24447533,24447533,,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,,3,Near Full-Length Genomic Characterization of a Novel HIV Type 1 CRF01_ AE/07_BC Recombinant in Men W,"Ke,Z. and Yongtao,S.",,
,,,,,3,"Identifying the Achilles heel of HIV: Broadly neutralizing antibodies to the CD4 binding, superantig","Planque,S., Salas,M., Mitsuda,Y., Jena,B., Sienczy",,
,,,,,3,Analysis of near full-length genome sequences of HIV-1 isolates of Romanian origin,"Sierra,M., Delgado,E., Munoz,M., Vega,Y., Vazquez ",,
,,,,,3,Sequence analysis of near full-length Human immunodeficiency virus type 1 sequences from Guinea-Biss,"Vinner,L., Holmgren,B., Karlsson,I., Esbjornsson,J",,
HS7GoEFPgA9ywQ-ud0rYX8RQ,PM28384158,28384158,,,519,Accurate Predictions of Changes in Structural Features of HIV-1 Env in Patients and Population Using,"DeLeon,O., Hodis,H., OMalley,Y., Johnson,J., Salim",Unknown,
,,,,,296,Analysis of recombinant viral genomes in individuals infected with multiple transmitted/founder HIV-,"Song,H., Cai,F., Chen,S., Hoper,J., Jiang,C. and G",,
,,,,,54,HIV-1 neutralizing antibodies with limited hypermutation from an infant,"Simonich,C.A., Williams,K.L., Verkerke,H.P., Willi",,
,,,,,49,Direct Submission,"Swanstrom,R.",,
,,,,,45,Characterization of drug-resistance mutation profile kinetics in HIV-1 with infectious clones,"Sakamoto,Y., Takekawa,N., Hashimoto,O., Matsuda,M.",,
,,,,,36,Treatment as Prevention: Characterization of partner infections in the HIV Prevention Trials Network,"Eshleman,S.H., Hudelson,S.E., Redd,A.D., Swanstrom",,
,,,,,23,HIV-1 superinfection with a triple class drug resistant strain in a patient successfully controlled ,"Mullins,J.I., Pantaleo,G., Bart,P.-A., Castro,E., ",,
HSe5E5cMzu2R5aHn4cABpUSg,,,,,20,Biological and genetic characterization of a panel of sixty human immunodeficiency virus type 1 (HIV,"Brown,B.K., Darden,J.M., Tovanabutra,S., Oblander,",,
,,,,,11,Direct Submission,"Delgado,E., Thomson,M., Fernandez-Garcia,A., Cueva",,
,,,,,11,Variation in HIV-1 R5 macrophage-tropism correlates with sensitivity to reagents that block envelope,"Peters,P.J., Duenas-Decamp,M.J., Sullivan,W.M., Br",,
,,,,,9,Frequent genetic defects in long-term survivors for more than 26 years in the absence of antiretrovi,"Cho,Y.-K.",,
,,,,,9,Viremic Relapse Following Prolonged Antiretroviral Drug-free Remission in a Perinatally HIV-1-infect,"Luzuriaga,K., Gay,H., Ziemniak,C., Sanborn,K.B., S",,
,,,,,8,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Ragupathy,V., Hewlet",,
,,,,,6,Direct Submission,"Yu,X. and Wang,Z.",,
,,,,,5,Direct Submission,"Revilla,A., Delgado,E., Fernandez,A. and Thomson,M",,
,,,,,5,A new generation of recombinants between CRF02_AG and subtype A detected in Ghana : analysis by infe,"Takekawa,N., Sakamoto,Y., Kinomoto,M., Nii-Trebi,N",,
,,,,,4,HIV-1 Evolution Following Transmission to an HLA-B*5801 Positive Subject,"Blankson,J.N., OConnell,K.A. and Siliciano,R.F.",,
,,,,,4,Construction and characterization of naive HIV-1 subtype A infectious molecular clones derived from ,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,4,Construction and characterization of HIV-1 CRF01_AE infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,4,Construction and characterization of mosaic HIV-1 infectious molecular clones among CRF02_AG and CRF,"Sakamoto,Y., Takekawa,N., Ampofo,W., Sata,T. and T",,
,,,,,4,Molecular characterization of subtype F infectious molecular clones possibly derived from Brazil,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,,4,Construction and characterization of multidrug-resistant HIV-1 subtype B infectious molecular clones,"Sato,M., Takekawa,N., Sakamoto,Y., Nishizawa,M., S",,
,,,,,4,Molecular characterization of infectious molecular clones derived from multidrug-resistant HIV-1 sub,"Takekawa,N., Nishizawa,M., Sugiura,W. and Tatsumi,",,
,,,,,4,Infectious DNA clones of HIV-1 subtype A,"Tatsumi,M. and Matsuda,M.",,
,,,,,2,Optimization of full-length sequencing of HIV type 1 from Senegal,"Aman,S., Borggren,M., Fomsgaard,A., Kebe,K. and Ja",,
,,,,,2,Infection with defective virus results in different clinical outcomes of infection in three HIV-1 in,"Buckheit,R.W. III and Blankson,J.N.",,
,,,,,2,"High Genetic Complexity of HIV-1 in low-prevalence, rural regions of Cameroon","Carr,J.K., Torimiro,J.N., Wolfe,N.D., Tamoufe,U., ",,
,,,,,2,Circulating Recombinant Form CRF02_AG in South America,"Carrion,G., Hierholzer,J., Montano,S., Alava,A., P",,
,,,,,2,Near full-length sequences of HIV-1 in Korean infected with Korean subclade B,"Cho,Y.-K.",,
,,,,,2,New and Old Complex Recombinant HIV-1 Strains Among Patients with Primary Infection in 1996-2006 in ,"Frange,P., Galimand,J., Vidal,N., Goujard,C., Deve",,
,,,,,2,Complete genomes of HIV-1 subtype C viruses in South Africa,"Gao,F.",,
,,,,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
,,,,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Fast,P., Amornkul,P.",,
,,,,,2,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Nitayaphan,S., Robb,M., Eller,L.",,
,,,,,2,Direct Submission,"Laukkanen,T. and Salminen,M.O.",,
,,,,,2,"Near Full-length Genome Analyses of a Novel HIV-1 Circulating Recombinant Form, CRF63_01B, Identifie","Li,X.",,
,,,,,2,Sequence and characterization of full-length genome of two HIV-1 strains isolated from two infected ,"Miao,W., Liu,Y., Wang,Z., Zhuang,D., Bao,Z., Li,H.",,
,,,,,2,Two new complete genomes of HIV-1 recombinant AGJ BFP90-like circulating in Mali and Senegal,"Montavon,C., Delaporte,E. and Peeters,M.",,
,,,,,2,Direct Submission,"Salazar-Gonzalez,J., Derdeyn,C., Hunter,E., Hahn,B",,
,,,,,2,Persistent seronegativity in an asymptomatic 27-month-old child with vertical HIV-1-infection,"Thitithanyanont,A., Kanchongkittiphon,W., Gesprase",,
,,,,,2,Identification of a novel HIV-1 complex circulating recombinant form (CRF18_cpx) of Central African ,"Thomson,M., Casado,G., Sierra,M. and Najera,R.",,
,,,,,62,Direct Submission,"Wernly,C.H. and Quinnan,G.V. Jr.",,
,,,,,30,"Molecular detection, cloning and characterization of HIV-1 subtype A, D and AD transmitted/founder i","Baalwa,J., Kaleebu,P., Hahn,B.H. and Shaw,G.M.",,
,,,,,19,Increased Spontaneous Shedding of Soluble gp120 by HIV in Brain from Patients with Dementia,"Mefford,M.E., Kunstman,K., Wolinsky,S.M. and Gabuz",,
,,,,,16,Grossly deleted HIV-1 nef gene,"Cho,Y.",,
,,,,,12,Antibody neutralization and escape by HIV-1,"Wei,X. and Shaw,G.M.",,
,,,,,11,Transition from Long-Term Nonprogression to HIV-1 Disease Associated with Escape from Cellular Immun,"Kemal,K.S., Beattie,T., Dong,T., Weiser,B., Kuiken",,
HSVzSzS1_PPj-wbn8nqaQ1Gw,PM26599538,26599538,,,9,Utility of Unbiased Next-Generation Sequencing for Characterization of HIV Diversity,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Fed",ProbablyNaive,
,,,,,8,HIV variants transmitted through breastfeeding are genetically homogeneous and resistant to neutrali,"Rainwater,S.M.J., Wu,X., Nduati,R., John-Stewart,G",,
,,,,,8,Reconstruction of Residual HIV-1 from Plasma Viral RNA of a Patient on Suppressive Antiretroviral Th,"Rassler,S., Khoury,N., Skowron,G. and Sahu,G.K.",,
,,,,,6,Direct Submission,"Revilla,A., Delgado,E., Fernandez,A. and Thomson,M",,
,,,,,6,In vivo emergence of vicriviroc resistance in an HIV-1 subtype C-infected subject,"Tsibris,A.M.N., Manish,S., Gulick,R.M., Su,Z., Hug",,
,,,,,5,Sequence Polymorphisms in Human Immunodeficiency Virus Type 1 Envelope Glycoprotein Isolated from In,"Alkhatib,G.",,
,,,,,5,"Construction of a panel of functional HIV-1 envelope clones of subtype A1, former Soviet Union varia","Fernandez-Garcia,A., Revilla,A., Elena,D. and Thom",,
,,,,,5,Differential loss of human immunodeficiency virus type I (HIV-1)-specific T-helper responses in two ,"Geels,M.J., Jansen,C., Baan,E., De Cuyper,I.M., va",,
,,,,,4,Evolution of antibody landscape and viral escape in an HIV-1 CRF02_AG infected patient with 4E10-lik,"Dieltjens,T., Heyndrickx,L., Vanham,G. and Janssen",,
,,,,,4,Construction and characterization of multidrug-resistant HIV-1 subtypeB infectious molecular clones ,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,,3,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Briesen,H.V. and Gao",,
,,,,,3,CAVD/CA-VIMC Neutralization Serotype Discovery Project,"Sanders-Buell,E., Montefiori,D., Seaman,M., Willia",,
,,,,,2,"Characterization of envelope gene of HIV-1 strain from Calcutta, India","Bhanja,P. and Chakrabarti,S.",,
,,,,,2,HIV-1 Subtype C envelope gene,"Khan,I.Fatima., Vajpayee,M. and Seth,P.",,
,,,,,2,"Construction and characterization of infectious molecular clones deriver from HIV-1, URF between sub","Nagai,M., Kondo,M. and Tatsumi,M.",,
,,,,,2,Construction and characterization of infectious molecular clones derived from japanese blood donors,"Nagai,M., Takekawa,N. and Tatsumi,M.",,
,,,,,2,"Analysis of HIV-1 Quasi-Species Demonstrates that Polymorphisms in gp41, have a Significant Role in ","ORourke,S.M., Schweighardt,B., Phung,P., Mesa,K., ",,
,,,,,2,Construction and characterization of HIV-1 subtype A infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,2,Construction and characterization of HIV-1 BF recombinant infectious molecular clones,"Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,2,Construction and characterization of an unique mosaic HIV-1 subtype C infectious molecular clones de,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,,2,Infectious molecular clones of subtype B HIV-1 derived from Japanese patients,"Sakamoto,Y., Takekawa,N., Sakai,K., Sugiura,W., Ni",,
,,,,,2,Molecular characterization of infectious molecular clones derived from naive subtype B HIV-1 in Japa,"Takekawa,N., Nishizawa,M., Sugiura,W. and Tatsumi,",,
,,,,,1,An HIV-1 dually infected individual,"Aasa-Chapman,M.M.I. and McKnight,A.",,
,,,,,1,Direct Submission,"Baalwa,J., Sanders,E., Shaw,G. and Hahn,B.",,
,,,,,1,Direct Submission,"Baalwa,J., Shaw,G. and Hahn,B.",,
,,,,,1,Direct Submission,"Bandawe,G.",,
,,,,,1,,"Bex,F., Vanhulle,C., Sprecher,S., Geissendorfer,M.",,
,,,,,1,(no title given),"Bex,F., Vanhulle,C., Van de Perre,P. and Burny,A.",,
,,,,,1,,"Buckler-White,A. and Theodore,T.",,
,,,,,1,"HIV-1 isolate VI354 from Gabon, complete genome","Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,,1,Subtype A strain of HIV-1 from Uganda,"Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,,1,"HIV-1 isolate SE8603 from Uganda, complete genome","Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,,1,Direct Submission,"Carr,J.K., Kim,B., Sanders-Buell,E., Salminen,M.O.",,
,,,,,1,Direct Submission,"Casado,G., Thomson,M., Sierra,M. and Najera,R.",,
,,,,,1,HIV-1 recombinants among Maipur IDUs,"Chakrabarti,S. and Sarkar,R.",,
,,,,,1,Slow Immunologic Progression in Injecting Drug Users Infected with Human Immunodeficiency Virus Type,"Chang,S.-Y. and Hung,C.-C.",,
,,,,,1,Cloning and expression of the gene coding for GP41 protein from HIV infected patient,"Diep,N.N., Quynh,B.N., Tuan,P., Sinh,N., Tung,N., ",,
,,,,,1,HIV-1 env sequences from primary isolates differing in tropism from a mother and her child,"Dietrich,U.",,
,,,,,1,HIV-1 env sequence from a T-tropic primary HIV-1 isolate from an infected German (mother of child is,"Dietrich,U.",,
,,,,,1,Sequence of a HIV-1 Subtype F that is underquantified by Roche COBAS TaqMan and COBAS Amplicor Virus,"Eberle,J. and Jauer,C.M.",,
,,,,,1,Functional env clones of clade AG/A1 Human immunodeficiency virus type 1 as standard reference reage,"Ellenberger,D., Li,B., Callahan,M., Butera,S., Fol",,
,,,,,1,Functional env clone of clade D Human immunodeficiency virus type 1 as standard reference reagents f,"Ellenberger,D., Li,B., Callahan,M., Butera,S., Fol",,
,,,,,1,Functional env clones of clade G Human immunodeficiency virus type 1 as standard reference reagents ,"Ellenberger,D., Li,B., Callahan,M., Butera,S., Fol",,
,,,,,1,Functional env clones of clade CRF13_cpx Human immunodeficiency virus type 1 as standard reference r,"Ellenberger,D., Li,B., Callahan,M., Butera,S., Fol",,
,,,,,1,Full-length HIV-1 subtype G molecular clone,"Esteves,A.M. and Freitas,S.P.",,
,,,,,1,Cloning and Characterization of a Virtually Full-Length HIV-1 Genome of a Prevalent Subtype B-Thai S,"Fumin,F., Zuoyi,B., Daomin,Z., Siyang,L., Lin,L. a",,
,,,,,1,The study of long-term HAART treatment effect for resistancy-connected alterations in HIV-1 subtype ,"Galkin,A.N., Bychenko,A.B., Gagarina,E.Y., Samokhi",,
,,,,,1,Sequencing and analysis of full-length HIV-1 CRF06_cpx isolate from Russia,"Galkin,A.N., Gagarina,E.Y. and Lukyanova,N.S.",,
,,,,,1,"Construction of phage displayed libraries of human recombinant ScFv antibodies, specific to envelope","Galkin,A.N., Solovyev,A.I., Kiselev,S.M., Nikiforo",,
,,,,,1,CAVD/CA-VIMC Southern Africa HIV-1 Env pseudotyped Virus Panel Project,"Hahn,B.H., Montefiori,D.C., Williamson,C., Swanstr",,
,,,,,1,Human immunodeficiency virus type 1 CRF07_BC Env/Rev cassette clones from chronically infected indiv,"Hong,K., Tang,H., Montefiori,D. and Shao,Y.",,
,,,,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Busch,M., Sauleda,S., Denny,T.N.",,
,,,,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Schmidt,M.",,
,,,,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Denny,T.N., Sabino,E., Busch,M. ",,
HSPBxlpDxGmU_P0yZxJO9Wgg,PM24447533,24447533,,,1,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Fast,P., Amornkul,P., Price,M., ",Naive,
,,,,,1,Complete sequence of type B HIV-1 Taiwan strain,"Huang,L.-M., Chen,M.-Y. and Chuang,C.-Y.",,
,,,,,1,Genetic Characterization of a Unique Recombinant Form(URF) Involving HIV-1 CRF 01_AE and Subtype C f,"Karade,S., Pandey,S.S., Gianchandani,S., Kurle,S. ",,
,,,,,1,Sequence of HIV-1 isolate 01IN565.10 from India,"Khurana,S., Patel,A., Kulkarni,S.S., Tripathy,S.P.",,
,,,,,1,Development and application of a high-throughput HIV-1 genotyping assay to identify CRF02_AG in West,"Kijak,G.H. and McCutchan,F.E.",,
,,,,,1,Near Full-Length Sequence Analysis of HIV CRF01_AE/B Recombinant from Thailand,"Laomanit,L. and Ngo-Giang-Huong,N.",,
,,,,,1,Maximum Likelihood Analysis of Clock-Like Behavior in HIV: Implications on Dating Strategies in HIV ,"Lemey,P., Salemi,M., Wang,B., Saksena,N.K. and Van",,
,,,,,1,Direct Submission,"Li,J., Li,L., Li,H., Li,J. and Yang,S.",,
,,,,,1,Analysis of the near full-length genomic characterization of HIV-1 subtype G detected in Guangxi for,"Li,L., Chen,L.-L., Li,T.-Y. and Liang,S.-J.",,
,,,,,1,Full lenth envelope gene sequence of HIV-1 isolated from Calcutta,"Mandal,D., Khetawat,D. and Chakrabarti,S.",,
,,,,,1,Genetic and functional analysis of HIV-1 envelope from long-term non-progressors,"Martinez-Prats,L. and Delgado,R.",,
