PubMedID,PubYear,NumPatients,RxStatus,Title,Subtypes,Authors
11991972,2002,42,Naive,Human immunodeficiency virus type 1 subtype C molecular phylogeny: consensus sequence for an AIDS vaccine design?,C,"Novitsky,V., Smith,U.R., Gilbert,P., McLane,M.F., Chigwedere,P., Williamson,C., Ndung'u,T., Klein,I., Chang,S.-Y., Peter,T., Thior,I., Foley,B.T., Gaolekwe,S., Rybak,N., Gaseitsiwe,S., Vannberg,F., Marlink,R., Lee,T.-H. and Essex,M."
27434311,2016,42,Naive,Features of Recently Transmitted HIV-1 Clade C Viruses that Impact Antibody Recognition: Implications for Active and Passive Immunization,C,"Rademeyer,C., Korber,B., Seaman,M.S., Giorgi,E.E., Thebus,R., Robles,A., Sheward,D.J., Wagh,K., Garrity,J., Carey,B.R., Gao,H., Greene,K.M., Tang,H., Bandawe,G.P., Marais,J.C., Diphoko,T.E., Hraber,P., Tumba,N., Moore,P.L., Gray,G.E., Kublin,J., McElrath,M.J., Vermeulen,M., Middelkoop,K., Bekker,L.G., Hoelscher,M., Maboko,L., Makhema,J., Robb,M.L., Abdool Karim,S., Abdool Karim,Q., Kim,J.H., Hahn,B.H., Gao,F., Swanstrom,R., Morris,L., Montefiori,D.C. and Williamson,C."
23853594,2013,40,Naive,Evidence for a Continuous Drift of the HIV-1 Species towards Higher Resistance to Neutralizing Antibodies over the Course of the Epidemic,B; BG,"Bouvin-Pley,M., Morgand,M., Moreau,A., Jestin,P., Simonnet,C., Tran,L., Goujard,C., Meyer,L., Barin,F. and Braibant,M."
27512845,2016,40,Naive,Significant contribution of subtype G to HIV-1 genetic complexity in Nigeria identified by a newly developed subtyping assay specific for subtype G and CRF02_AG,02A1; 02G; 02U; 02_AG; 06G; 06_cpx; 11_cpx; A; A1U; C; G,"Heipertz,R.A. Jr., Ayemoba,O., Sanders-Buell,E., Poltavee,K., Pham,P., Kijak,G.H., Lei,E., Bose,M., Howell,S., O'Sullivan,A.M., Bates,A., Cervenka,T., Kuroiwa,J., Akintunde,A., Ibezim,O., Alabi,A., Okoye,O., Manak,M., Malia,J., Peel,S., Maisaka,M., Singer,D., O'Connell,R.J., Robb,M.L., Kim,J.H., Michael,N.L., Njoku,O. and Tovanabutra,S."
,,39,Unpublished,CAVD/CA-VIMC Neutralization Serotype Discovery Project,02_AG; A1; AC; AD; B; C; D,"Hahn,B.H., Swanstrom,R., Gao,F., Kim,J., Seaman,M.S., Williamson,C., Montefiori,D.C., Salazar,M.G., Salazar Gonzalez,J.F., Ojeda,S. and Anderson,J.A."
23972100,2013,39,Naive,"Molecular Epidemiology of Early and Acute HIV Type 1 Infections in the United States Navy and Marine Corps, 2005-2010",01_AE; B,"Heipertz,R.A. Jr., Sanders-Buell,E., Kijak,G., Howell,S., Lazzaro,M., Jagodzinski,L.L., Eggleston,J., Peel,S., Malia,J., Armstrong,A., Michael,N.L., Kim,J.H., O'Connell,R.J., Scott,P.T., Brett-Major,D.M. and Tovanabutra,S."
,2015,37,Unpublished,Direct Submission,06A1; B,"Swanstrom,R."
21036380,2011,37,Naive,Identification of amino acid substitutions associated with neutralization phenotype in the human immunodeficiency virus type-1 subtype C gp120,A1C; C; D; GJ,"Kirchherr,J.L., Hamilton,J., Lu,X., Gnanakaran,S., Muldoon,M., Daniels,M., Kasongo,W., Chalwe,V., Mulenga,C., Mwananyanda,L., Musonda,R.M., Yuan,X., Montefiori,D.C., Korber,B.T., Haynes,B.F. and Gao,F."
17632196,2007,36,Naive,Genetic characteristics of HIV-1 subtype C envelopes inducing cross-neutralizing antibodies,C,"Rademeyer,C., Moore,P. and Williamson,C."
26764036,2016,36,RxVariable,HIV-1 Env Glycoprotein Phenotype along with Immune Activation Determines CD4 T Cell Loss in HIV Patients,01_AE; B,"Joshi,A., Sedano,M., Beauchamp,B., Punke,E.B., Mulla,Z.D., Meza,A., Alozie,O.K., Mukherjee,D. and Garg,H."
12218394,2002,35,Naive,Forty-one near full-length HIV-1 sequences from Kenya reveal an epidemic of subtype A and A-containing recombinants,21_A2D; A1; A1A2D; A1C; A1CD; A1D; A1G; C; CD; D,"Dowling,W.E., Kim,B., Mason,C.J., Wasunna,K.M., Alam,U., Elson,L., Birx,D.L., Robb,M.L., McCutchan,F.E. and Carr,J.K."
23741489,2013,35,Naive,"High Prevalence of HIV-1 Intersubtype B'/C Recombinants among Injecting Drug Users in Dehong, China",57_BC; 64_BC; 87_cpx; 88_BC; B; BC; C,"Han,X., An,M., Zhao,B., Duan,S., Yang,S., Xu,J., Zhang,M., McGoogan,J.M., Takebe,Y. and Shang,H."
23791226,2013,35,RxVariable,Elevated hypermutation levels in HIV-1 natural viral suppressors,B,"Eyzaguirre,L.M., Charurat,M., Redfield,R.R., Blattner,W.A., Carr,J.K. and Sajadi,M.M."
,,34,Unpublished,Phylogenetic analysis of full-length env gene from 2 plasma donors and hemophiliacs infected with Korean subclade B of HIV type 1,B,"Cho,Y.-K."
27697032,2016,34,RxVariable,Genetic Characterization of HIV-1 strains among different risk group of Nepalese patient from central region of Nepal,01C; 01CD; 01_AE; A1; A1C; C; CD,"Bhusal,N., Sutthent,R., Horthongkham,N., Athipanyasilp,N. and Kantakamalakul,W."
15186520,2004,33,Naive,"The changing molecular epidemiology of HIV type 1 among northern Thai drug users, 1999 to 2002",01B; 01_AE,"Tovanabutra,S., Beyrer,C., Sakkhachornphop,S., Razak,M.H., Ramos,G.L., Vongchak,T., Rungruengthanakit,K., Saokhieo,P., Tejafong,K., Kim,B., De Souza,M., Robb,M.L., Birx,D.L., Jittiwutikarn,J., Suriyanon,V., Celentano,D.D. and McCutchan,F.E."
23199052,2013,33,RxVariable,Phylogenetic Analysis of Near Full-Length HIV Type 1 Genomic Sequences from 21 Korean Individuals,02_AG; B; D,"Cho,Y.K., Kim,J.E. and Foley,B.T."
28122636,2017,33,RxRTI,Breast Milk and in utero Transmission of HIV-1 Selelct for Envelope Variants with Unique Molecular Signatures,C; G,"Nakamura,K.J., Heath,L., Sobrera,E.R., Wilkinson,T.A., Semrau,K., Kankasa,C., Tobin,N.H., Webb,N.E., Lee,B., Thea,D.M., Kuhn,L., Mullins,J.I. and Aldrovandi,G.M."
,2010,32,Unpublished,Direct Submission,A6; B; BF1; CG; F1; G,"Revilla,A., Delgado,E. and Thomson,M."
22149143,2012,32,Naive,Pilot Studies for Development of an HIV Subtype Panel for Surveillance of Global Diversity,02_AG; 04_cpx; B; BF; C,"Manak,M., Sina,S., Anekella,B., Hewlett,I., Sanders-Buell,E.E., Ragupathy,V., Kim,J.H., Vermeulen,M., Stramer,S., Sabino,E., Grabarczyk,P., Michael,N.L., Peel,S., Garrett,P.E., Tovanabutra,S., Busch,M. and Schito,M."
26699702,2016,32,Naive,A PAN-HIV STRATEGY FOR COMPLETE GENOME SEQUENCING,01_AE; 0206; 02A1; 02D; 02_AG; 06_cpx; 11_cpx; A1; A1G; B; C; D; F1; G; H; J,"Berg,M.G., Yamaguchi,J., Alessandri-Gradt,E., Tell,R.W., Plantier,J.C. and Brennan,C.A."
18670237,2008,30,Naive,"A new CRF01_AE/B recombinant structure of HIV type 1 found in Heilongjiang province, China",01B; 07_BC; B,"Zhou,H.Z., Li,Y., Zhou,H., Liu,Y.C., Du,H.T., Wang,K.L., Wang,F.X. and Ling,H."
27574950,2016,30,Naive,First description of two new HIV-1 recombinant forms CRF82_cpx and CRF83_cpx among drug users in Northern Myanmar,01B; 01BC; 01C; 01_AE; 07_BC; 08_BC; 82_cpx; 83_cpx; BC,"Chen,X., Ye,M., Duo,L., Pang,W., Smith,D., Zhang,C. and Zheng,Y.T."
20932333,2010,29,Naive,"HIV-1 subtype distribution in the Gambia and the significant presence of CRF49_cpx, a novel circulating recombinant form",0209; 02A1; 02_AG; 49_cpx; A1; B; C; D,"de Silva,T.I., Turner,R., Hue,S., Trikha,R., van Tienen,C., Onyango,C., Jaye,A., Foley,B., Whittle,H., Rowland-Jones,S.L. and Cotten,M."
21226626,2011,29,Unknown,Functional molecular clones of HIV-1 env of subtypes G and BG recombinants,12_BF; 14_BG; A1G; B; BG; C; D; F; F1; F2; G,"Revilla,A., Delgado,E., Vega,Y. and Thomson,M.M."
26599538,2015,29,Naive,Utility of Unbiased Next-Generation Sequencing for HIV Surveillance,0102A; 01A1; 01_AE; 11_cpx; 13_cpx; 18_cpx; 37_cpx; A1; A1F2; A1G; A1H; A1K; DG; G; U,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Federman,S., Mbanya,D., Kaptue,L., Chiu,C.Y., Brennan,C.A. and Hackett,J. Jr."
,2011,28,Unpublished,Direct Submission,01_AE; A1; A1C; B; C; D; U,"Gao,F., Kumar,A., Hahn,B.H., Swanstrom,R., Kim,J., Seaman,M.S., Williamson,C. and Montefiori,D.C."
20485520,2010,28,Naive,High Multiplicity Infection by HIV-1 in Men Who Have Sex with Men,B,"Li,H., Bar,K.J., Wang,S., Decker,J.M., Chen,Y., Sun,C., Salazar-Gonzalez,J.F., Salazar,M.G., Learn,G.H., Morgan,C.J., Schumacher,J.E., Hraber,P., Giorgi,E.E., Bhattacharya,T., Korber,B.T., Perelson,A.S., Eron,J.J., Cohen,M.S., Hicks,C.B., Haynes,B.F., Markowitz,M., Keele,B.F., Hahn,B.H. and Shaw,G.M."
27973597,2016,28,Naive,Fast Dissemination of New HIV-1 CRF02/A1 Recombinants in Pakistan,02A1; 02_AG; A1; C,"Chen,Y., Hora,B., DeMarco,T., Shah,S.A., Ahmed,M., Sanchez,A.M., Su,C., Carter,M., Stone,M., Hasan,R., Hasan,Z., Busch,M.P., Denny,T.N. and Gao,F."
18209676,2008,27,Naive,Genetic and Neutralization Properties of HIV-1 env Clones from Subtype B/BC/AE Infections in China,01_AE; 07_BC; 08_BC; B; BC,"Chong,H., Hong,K., Zhang,C., Nie,J., Song,A., Kong,W. and Wang,Y."
19182918,2009,27,Naive,Genetic analysis of HIV type 1 strains from newly infected untreated patients in cyprus: high genetic diversity and low prevalence of drug resistance,01A1; 01_AE; 02_AG; A1; A1U; A6; B; C; D,"Kousiappa,I., van de Vijver,D.A., Demetriades,I. and Kostrikis,L.G."
25811757,2015,27,Naive,Compartmentalized Replication of R5 T Cell-Tropic HIV-1 in the Central Nervous System Early in the Course of Infection,B,"Sturdevant,C.B., Joseph,S.B., Schnell,G., Price,R.W., Swanstrom,R. and Spudich,S."
16817969,2006,26,Naive,The predominance of Human Immunodeficiency Virus type 1 (HIV-1) circulating recombinant form 02 (CRF02_AG) in West Central Africa may be related to its replicative fitness,02A1; 02_AG; 09A; A; A1; A1A3; ADU; AG; G,"Njai,H.F., Gali,Y., Vanham,G., Clybergh,C., Jennes,W., Vidal,N., Butel,C., Mpoudi-Ngolle,E., Peeters,M. and Arien,K.K."
19143562,2009,26,Naive,Selection of HIV Variants with Signature Genotypic Characteristics during Heterosexual Transmission,A1; D,"Sagar,M., Laeyendecker,O., Lee,S., Gamiel,J., Wawer,M.J., Gray,R.H., Serwadda,D., Sewankambo,N.K., Shepherd,J.C., Toma,J., Huang,W. and Quinn,T.C."
18562530,2008,25,Naive,Genetic characterization of human immunodeficiency virus type 1 in elite controllers: lack of gross genetic defects or common amino acid changes,B,"Miura,T., Brockman,M.A., Brumme,C.J., Brumme,Z.L., Carlson,J.M., Pereyra,F., Trocha,A., Addo,M.M., Block,B.L., Rothchild,A.C., Baker,B.M., Flynn,T., Schneidewind,A., Li,B., Wang,Y.E., Heckerman,D., Allen,T.M. and Walker,B.D."
19025632,2008,25,Naive,Conserved positive selection signals in gp41 across multiple subtypes and difference in selection signals detectable in gp41 sequences sampled during acute and chronic HIV-1 subtype C infection,C,"Bandawe,G.P., Martin,D.P., Treurnicht,F., Mlisana,K., Karim,S.S. and Williamson,C."
20707647,2010,25,Naive,Short Communication: Biological and Genetic Characterization of HIV Type 1 Subtype B and Nonsubtype B Transmitted Viruses: Usefulness for Vaccine Candidate Assessment,02A; 14_BG; 24_BG; A1; B; BF1; C; DF1G; G,"Cuevas,M.T., Fernandez-Garcia,A., Pinilla,M., Garcia-Alvarez,V., Thomson,M., Delgado,E., Gonzalez-Galeano,M., Miralles,C., Serrano-Bengoechea,E., Ojea de Castro,R., Lopez-Alvarez,M.J., Lezaun,M.J., Sanchez-Garcia,A.M., Sanchez-Martinez,M., Munoz-Nieto,M. and Perez-Alvarez,L."
19540543,2009,24,Naive,Phylodynamic analysis of the dissemination of HIV-1 CRF01_AE in Vietnam,01_AE,"Liao,H., Tee,K.K., Hase,S., Uenishi,R., Li,X.J., Kusagawa,S., Thang,P.H., Hien,N.T., Pybus,O.G. and Takebe,Y."
10984542,2000,22,Naive,A distinctive clade B HIV type 1 is heterosexually transmitted in Trinidad and Tobago,B,"Cleghorn,F.R., Jack,N., Carr,J.K., Edwards,J., Mahabir,B., Sill,A., McDanal,C.B., Connolly,S.M., Goodman,D., Bennetts,R.Q., O'Brien,T.R., Weinhold,K.J., Bartholomew,C., Blattner,W.A. and Greenberg,M.L."
19182920,2009,22,Naive,"Identification and characterization of CRF02_AG, CRF06_cpx, and CRF09_cpx recombinant subtypes in Mali, West Africa",02_AG; 06_cpx; 09_cpx; A,"Imamichi,H., Koita,O., Dabitao,D., Dao,S., Ibrah,M., Sogoba,D., Dewar,R.L., Berg,S.C., Jiang,M.K., Parta,M., Washington,J.A., Polis,M.A., Lane,H.C. and Tounkara,A."
9445059,1998,22,Naive,Immunological and virological analyses of persons infected by human immunodeficiency virus type 1 while participating in trials of recombinant gp120 subunit vaccines,B,"Connor,R.I., Korber,B.T.M., Graham,B.S., Hahn,B.H., Ho,D.D., Walker,B.D., Neumann,A.U., Vermund,S.H., Mestecky,J., Jackson,S., Fenamore,E., Cao,Y., Gao,F., Kalams,S., Kunstman,K.J., McDonald,D., McWilliams,N., Trkola,A., Moore,J.P. and Wolinsky,S.M."
16910837,2006,21,Naive,Molecular epidemiology of HIV Type 1 in preparation for a Phase III prime-boost vaccine trial in Thailand and a new approach to HIV Type 1 genotyping,01B; 01_AE; 52_01B; B,"Watanaveeradej,V., Benenson,M.W., Souza,M.D., Sirisopana,N., Nitayaphan,S., Tontichaivanich,C., Amphaipit,R., Renzullo,P.O., Brown,A.E., McNeil,J.G., Robb,M.L., Birx,D.L., Tovanabutra,S., Carr,J.K. and McCutchan,F.E."
18691031,2008,21,Naive,Increase of non-B subtypes and recombinants among newly diagnosed HIV-1 native Spaniards and immigrants in Spain,02_AG; 06_cpx; 1113; 11_cpx; 22_01A1; A1; A1D; A1U; C; F2; G,"Holguin,A., de Mulder,M., Yebra,G., Lopez,M. and Soriano,V."
