PubMedID,PubYear,Title,Authors,NumPatients
20156095,2010,"Evaluation of HIV type 1 strains in men having sex with men and in female sex workers in Mombasa, Kenya","Tovanabutra,S., Sanders,E.J., Graham,S.M., Mwangome,M., Peshu,N., McClelland,R.S., Muhaari,A., Crossler,J., Price,M.A., Gilmour,J., Michael,N.L. and McCutchan,F.M.",20
25654164,,A new HIV-1 B/F1 unique recombinant form (URF) outbreak in Luxembourg: near full-length genome characterization and phylogenetic analysis,"Struck,D., Roman,F., Lambert,C., Masquelier,C., Servais,J.-Y., Arendt,V., Hemmer,R., Staub,T., Devaux,C. and Schmit,J.-C.",19
26115688,2015,Subtype-independent near full-length HIV-1 genome sequencing and assembly to be used in large molecular epidemiological studies and clinical management,"Grossmann,S., Nowak,P. and Neogi,U.",18
18184088,2007,Characterization of near full-length genomes of HIV type 1 strains in Denmark: basis for a universal therapeutic vaccine,"Andresen,B.S., Vinner,L., Tang,S., Bragstad,K., Kronborg,G., Gerstoft,J., Corbet,S. and Fomsgaard,A.",17
26763952,2016,"Geographic origin and evolutionary history of China's two predominant HIV-1 circulating recombinant forms, CRF07_BC and CRF08_BC","Feng,Y., Takebe,Y., Wei,H., He,X., Hsi,J.H., Li,Z., Xing,H., Ruan,Y., Yang,Y., Li,F., Wei,J., Li,X. and Shao,Y.",17
26599410,2015,Phylogeny and Phylogeography of a Recent HIV-1 Subtype F Outbreak among Men Who Have Sex with Men in Spain Deriving from a Cluster with a Wide Geographic Circulation in Western Europe,"Delgado,E., Cuevas,M.T., Dominguez,F., Vega,Y., Cabello,M., Fernandez-Garcia,A., Perez-Losada,M., Castro,M.A., Montero,V., Sanchez,M., Marino,A., Alvarez,H., Ordonez,P., Ocampo,A., Miralles,C., Perez-Castro,S., Lopez-Alvarez,M.J., Rodriguez,R., Trigo,M., Diz-Aren,J., Hinojosa,C., Bachiller,P., Hernaez-Crespo,S., Cisterna,R., Garduno,E., Perez-Alvarez,L. and Thomson,M.M.",16
27403940,2016,Viral Evolution and Cytotoxic T Cell Restricted Selection in Acute Infant HIV-1 Infection,"Garcia-Knight,M.A., Slyker,J., Payne,B.L., Pond,S.L., de Silva,T.I., Chohan,B., Khasimwa,B., Mbori-Ngacha,D., John-Stewart,G., Rowland-Jones,S.L. and Esbjornsson,J.",16
21690407,,Coordinately linked sites in HIV evolution reveal regions of immunologic vulnerability,"Miura,T.",15
28178737,,"HIV-1 genetic evolution and recombinant patterns among the newly diagnosed HIV-1 individuals in Hebei Province, China","Lu,X.",15
19116253,2009,HLA-B57/B*5801 human immunodeficiency virus type 1 elite controllers select for rare gag variants associated with reduced viral replication capacity and strong cytotoxic T-lymphotye recognition,"Miura,T., Brockman,M.A., Schneidewind,A., Lobritz,M., Pereyra,F., Rathod,A., Block,B.L., Brumme,Z.L., Brumme,C.J., Baker,B., Rothchild,A.C., Li,B., Trocha,A., Cutrell,E., Frahm,N., Brander,C., Toth,I., Arts,E.J., Allen,T.M. and Walker,B.D.",14
21645646,2011,"High genetic diversity of HIV-1 was found in men who have sex with men in Shijiazhuang, China","Li,L., Lu,X., Li,H., Chen,L., Wang,Z., Liu,Y., Bao,Z., Li,T., Tian,C., Liu,H., Zhuang,D., Liu,S. and Li,J.",14
21613398,2011,Virological and Immunological Factors Associated with HIV-1 Differential Disease Progression in HLA-B*58:01-Positive Individuals,"Chopera,D.R., Mlotshwa,M., Woodman,Z., Mlisana,K., de Assis Rosa,D., Martin,D.P., Abdool Karim,S., Gray,C.M. and Williamson,C.",13
25401747,2014,"Deep Sequencing of HIV-1 near Full-Length Proviral Genomes Identifies High Rates of BF1 Recombinants Including Two Novel Circulating Recombinant Forms (CRF) 70_BF1 and a Disseminating 71_BF1 among Blood Donors in Pernambuco, Brazil","Pessoa,R., Watanabe,J.T., Calabria,P., Felix,A.C., Loureiro,P., Sabino,E.C., Busch,M.P. and Sanabani,S.S.",13
28069935,2017,Resistance to type 1 interferons is a major determinant of HIV-1 transmission fitness,"Iyer,S.S., Bibollet-Ruche,F., Sherrill-Mix,S., Learn,G.H., Plenderleith,L., Smith,A.G., Barbian,H.J., Russell,R.M., Gondim,M.V., Bahari,C.Y., Shaw,C.M., Li,Y., Decker,T., Haynes,B.F., Shaw,G.M., Sharp,P.M., Borrow,P. and Hahn,B.H.",13
28077647,2017,Sensitive next generation sequencing method reveals deep genetic diversity of HIV-1 in the Democratic Republic of the Congo,"Rodgers,M.A., Wilkinson,E., Vallari,A., McArthur,C., Sthreshley,L., Brennan,C.A., Cloherty,G. and de Oliveira,T.",13
17919103,2007,Characterization of the full-length human immunodeficiency virus-1 genome from recently infected subjects in Brazil,"Sa-Filho,D., Kallas,E.G., Sanabani,S., Sabino,E., Sucupira,M.C., Sanchez-Rosa,A.C., Tescarollo,G., Tomiyama,H., Bassichetto,K., Janini,L.M. and Diaz,R.S.",12
18620491,2008,"Analysis of near full-length genomic sequences of drug-resistant HIV-1 spreading among therapy-naive individuals in Nagoya, Japan: amino acid mutations associated with viral replication activity","Ibe,S., Shigemi,U., Sawaki,K., Fujisaki,S., Hattori,J., Yokomaku,Y., Mamiya,N., Hamaguchi,M. and Kaneda,T.",12
19487424,2009,"Genetic identity, biological phenotype, and evolutionary pathways of transmitted/founder viruses in acute and early HIV-1 infection","Salazar-Gonzalez,J.F., Salazar,M.G., Keele,B.F., Learn,G.H., Giorgi,E.E., Li,H., Decker,J.M., Wang,S., Baalwa,J., Kraus,M.H., Parrish,N.F., Shaw,K.S., Guffey,M.B., Bar,K.J., Davis,K.L., Ochsenbauer-Jambor,C., Kappes,J.C., Saag,M.S., Cohen,M.S., Mulenga,J., Derdeyn,C.A., Allen,S., Hunter,E., Markowitz,M., Hraber,P., Perelson,A.S., Bhattacharya,T., Haynes,B.F., Korber,B.T., Hahn,B.H. and Shaw,G.M.",12
23123038,2013,"Molecular identification, cloning and characterization of transmitted/founder HIV-1 subtype A, D and A/D infectious molecular clones","Baalwa,J., Wang,S., Parrish,N.F., Decker,J.M., Keele,B.F., Learn,G.H., Yue,L., Ruzagira,E., Ssemwanga,D., Kamali,A., Amornkul,P.N., Price,M.A., Kappes,J.C., Karita,E., Kaleebu,P., Sanders,E., Gilmour,J., Allen,S., Hunter,E., Montefiori,D.C., Haynes,B.F., Cormier,E., Hahn,B.H. and Shaw,G.M.",12
25413141,2014,Enhanced detection of viral diversity using partial and near full-length genomes of human immunodeficiency virus Type 1 provirus deep sequencing data from recently infected donors at four blood centers in Brazil,"Pessoa,R., Watanabe,J.T., Calabria,P., Alencar,C.S., Loureiro,P., Lopes,M.E., Proetti,A.B., Felix,A.C., Sabino,E.C., Busch,M.P. and Sanabani,S.S.",12
27500724,2016,Defective proviruses rapidly accumulate during acute HIV-1 infection,"Bruner,K.M., Murray,A.J., Pollack,R.A., Soliman,M.G., Laskey,S.B., Capoferri,A.A., Lai,J., Strain,M.C., Lada,S.M., Hoh,R., Ho,Y.C., Richman,D.D., Deeks,S.G., Siliciano,J.D. and Siliciano,R.F.",12
26375597,2015,Extremely High Mutation Rate of HIV-1 In Vivo,"Cuevas,J.M., Geller,R., Garijo,R., Lopez-Aldeguer,J. and Sanjuan,R.",11
16272358,2005,HIV-1-specific CD8+ T cell responses and viral evolution in women and infants,"Sanchez-Merino,V., Nie,S. and Luzuriaga,K.",10
16438639,2006,Identification of two HIV type 1 circulating recombinant forms in Brazil,"De Sa Filho,D.J., Sucupira,M.C., Caseiro,M.M., Sabino,E.C., Diaz,R.S. and Janini,L.M.",10
18691031,,Rapid Increase of HIV-1 Non-B Subtypes and Recombinants Among Newly Diagnosed Native Spaniards,"Holguin,A., de Mulder,M. and Yebra,G.",10
20438383,2010,Distinct circulating recombinant HIV-1 strains among injecting drug users and sex workers in Afghanistan,"Sanders-Buell,E., Bose,M., Nasir,A., Todd,C.S., Stanekzai,M.R., Tovanabutra,S., Scott,P.T., Strathdee,S.A., Tjaden,J., Michael,N.L. and McCutchan,F.E.",10
22251084,2012,The Analysis of Near Full-Length Genome Sequences of HIV Type 1 Subtype A Viruses from Russia Supports the Monophyly of Major Intrasubtype Clusters,"Fernandez-Garcia,A., Revilla,A., Vazquez-de Parga,E., Vinogradova,A., Rakhmanova,A., Karamov,E., Carrera,C., Delgado,E., Perez-Alvarez,L., Najera,R., Osmanov,S. and Thomson,M.M.",10
22916738,2013,Molecular Epidemiology of HIV Type 1 Infection in Iran: Genomic Evidence of CRF35_AD Predominance and CRF01_AE Infection Among Individuals Associated with Injection Drug Use,"Jahanbakhsh,F., Ibe,S., Hattori,J., Monavari,S.H.R., Matsuda,M., Maejima,M., Iwatani,Y., Memarnejadian,A., Keyvani,H., Azadmanesh,K. and Sugiura,W.",10
