Accession,NumUnusuals
AY463221,0
AY463222,0
AY463223,0
AY463224,0
AY463225,1
AY463226,1
AY463227,0
AY463228,0
AY463229,0
AY463230,0
AY463231,0
AY463232,1
AY463233,1
AY463234,1
AY463235,1
AY463236,0
AY463237,1
AY494968,1
AY521629,1
AY521630,0
AY521631,0
AY521632,0
AY521633,0
AY522721,0
AY522722,1
AY522723,9
AY522724,1
AY522725,0
AY522726,0
AY522727,0
AY522728,0
AY522729,0
AY522730,0
AY522731,0
AY522732,2
AY522733,0
AY522734,0
AY522735,0
AY522736,6
AY536233,0
AY536234,0
AY536235,2
AY536236,1
AY536237,0
AY536238,1
AY585264,4
AY585265,0
AY585266,2
AY585267,1
AY585268,0
AY703908,0
AY703909,2
AY703910,0
AY703911,0
AY713406,0
AY713408,0
AY713410,1
AY713412,0
AY713413,1
AY713414,0
AY713415,0
AY713416,1
AY713417,0
AY713418,0
AY713419,0
AY713420,1
AY713421,0
AY713422,0
AY713423,0
AY713424,1
AY713425,0
AY734550,0
AY734551,0
AY734552,0
AY734553,0
AY734554,0
AY734555,1
AY734556,0
AY734558,1
AY734559,1
AY734560,0
AY734562,0
AY736838,0
AY772690,0
AY772691,0
AY772692,0
AY772693,1
AY772694,1
AY772695,1
AY772696,2
AY772697,1
AY772698,1
AY772699,0
AY772700,4
AY772701,0
AY795903,0
AY795904,0
AY795905,2
AY795906,1
AY795907,1
AY829203,0
AY829204,0
AY829205,0
AY829206,0
AY829207,1
AY829208,0
AY829209,0
AY829210,0
AY829212,0
AY829214,0
AY835436,0
AY835437,0
AY835438,1
AY835446,1
AY835447,0
AY835448,0
AY835449,0
AY835450,0
AY835451,0
AY835452,1
AY856956,0
AY856957,0
AY856959,0
AY856962,1
AY856965,1
AY856971,0
AY856985,0
AY856989,2
AY856990,1
AY856996,1
AY857014,2
AY857018,0
AY857019,5
AY857022,0
AY857028,2
AY857029,0
AY857031,0
AY857049,1
AY857053,1
AY857058,1
AY857063,0
AY857064,0
AY857082,1
AY857087,3
AY857094,1
AY857100,0
AY857102,3
AY857109,0
AY857112,2
AY857124,0
AY857127,1
AY857132,1
AY857133,2
AY857136,1
AY857143,0
AY857144,0
AY857160,2
AY857163,0
AY857165,2
AY857168,3
AY857169,0
AY857180,3
AY857182,1
AY878054,0
AY878055,0
AY878056,2
AY878057,1
AY878058,0
AY878059,1
AY878060,0
AY878061,5
AY878062,0
AY878063,0
AY878064,0
AY878065,1
AY878066,0
AY878067,0
AY878068,2
AY878069,1
AY878070,0
AY878071,0
AY878072,1
AY880686,1
AY880704,0
AY880718,0
AY880732,0
AY880752,2
AY880765,1
AY880781,0
AY880798,2
AY880808,0
AY880828,2
AY901965,1
AY901966,2
AY901967,0
AY901968,0
AY901969,2
AY901970,1
AY901971,0
AY901972,3
AY901973,0
AY901974,0
AY901975,0
AY901976,1
AY901977,2
AY901978,2
AY901980,3
AY901981,0
AY905493,0
AY905494,0
AY905495,1
AY905496,1
AY905497,0
AY935219,0
AY935221,2
AY935222,0
AY935225,1
AY935228,0
AY935233,2
AY935236,1
AY945710,1
AY945711,0
AY945712,0
AY945713,1
AY945716,0
AY945717,0
AY945718,2
AY945719,0
AY945720,0
AY945721,1
AY945722,0
AY945724,0
AY945725,10
AY945726,0
AY945727,0
AY945728,0
AY945730,0
AY945731,0
AY945732,1
AY945733,0
AY945734,0
DQ011165,1
DQ011166,0
DQ011167,1
DQ011168,0
DQ011169,0
DQ011170,0
DQ011171,0
DQ011172,0
DQ011173,0
DQ011174,0
DQ011175,1
DQ011176,2
DQ011177,0
DQ011178,1
DQ011179,2
DQ011180,0
DQ056404,0
DQ056405,0
DQ056406,0
DQ056408,2
DQ056409,1
DQ056410,1
DQ056411,0
DQ056412,0
DQ056413,0
DQ056414,1
DQ056415,0
DQ056416,1
DQ056417,0
DQ056418,0
DQ085867,0
DQ085868,0
DQ085869,1
DQ085870,1
DQ085871,0
DQ085872,0
DQ085873,0
DQ085874,0
DQ085875,0
DQ085876,0
DQ093585,0
DQ093586,2
DQ093587,2
DQ093588,0
DQ093589,1
DQ093590,3
DQ093591,1
DQ093592,0
DQ093593,1
DQ093594,3
DQ093595,1
DQ093596,1
DQ093597,0
DQ093598,0
DQ093599,0
DQ093600,0
DQ093601,2
DQ093602,0
DQ093603,0
DQ093604,1
DQ093605,0
DQ093606,0
DQ093607,1
DQ164104,0
DQ164106,0
DQ164107,1
DQ164110,0
DQ164111,0
DQ164113,0
DQ164114,0
DQ164115,0
DQ164117,1
DQ164118,0
DQ164119,1
DQ164120,1
DQ164121,2
DQ164122,0
DQ164126,0
DQ164127,2
DQ164129,1
DQ168573,1
DQ168575,0
DQ168576,0
DQ168577,1
DQ168578,0
DQ168579,0
DQ207940,1
DQ207941,2
DQ207942,0
DQ207943,0
DQ207944,0
DQ275642,1
DQ275643,0
DQ275644,2
DQ275645,0
DQ275646,1
DQ275647,1
DQ275648,1
DQ275650,0
DQ275651,1
DQ275652,0
DQ275653,4
DQ275654,1
DQ275655,1
DQ275656,2
DQ275657,2
DQ275658,1
DQ275659,2
DQ275660,2
DQ275661,0
DQ275662,0
DQ275663,0
DQ275664,1
DQ351216,0
DQ351217,2
DQ351218,0
DQ351219,1
DQ351220,0
DQ351221,0
DQ351222,3
DQ351223,1
DQ351224,2
DQ351225,0
DQ351226,2
DQ351227,0
DQ351228,0
DQ351229,0
DQ351230,2
DQ351231,0
DQ351232,1
DQ351234,0
DQ351235,2
DQ351236,0
DQ351237,1
DQ351238,0
DQ366659,0
DQ366660,0
DQ366661,1
DQ366662,0
DQ366663,0
DQ366664,0
DQ366665,1
DQ366666,0
DQ369976,0
DQ369977,0
DQ369978,1
DQ369979,0
DQ369980,1
DQ369981,2
DQ369982,1
DQ369983,2
DQ369984,1
DQ369985,2
DQ369986,0
DQ369987,1
DQ369988,0
DQ369989,0
DQ369990,2
DQ369991,1
DQ369992,1
DQ369993,1
DQ369994,0
DQ369995,1
DQ369996,0
DQ369997,0
DQ382361,0
DQ382362,1
DQ382363,1
DQ382364,0
DQ382365,0
DQ382366,0
DQ382367,1
DQ382368,0
DQ382369,0
DQ382370,0
DQ382371,0
DQ382372,1
DQ382373,0
DQ382374,0
DQ382375,0
DQ382376,2
DQ382377,1
DQ382378,1
DQ382379,1
DQ382380,0
DQ383746,0
DQ383747,0
DQ383748,1
DQ383749,1
DQ383750,1
DQ383751,0
DQ383752,0
DQ383754,1
DQ383755,0
DQ388514,1
DQ388515,0
DQ388516,1
DQ388517,0
DQ396364,0
DQ396365,0
DQ396367,2
DQ396368,1
DQ396369,2
DQ396370,0
DQ396371,0
DQ396372,1
DQ396373,0
DQ396374,0
DQ396375,0
DQ396376,1
DQ396377,0
DQ396378,2
DQ396380,1
DQ396381,0
DQ396382,0
DQ396383,0
DQ396384,0
DQ396385,0
DQ396386,0
DQ396387,1
DQ396388,1
DQ396389,1
DQ396390,0
DQ396391,0
DQ396392,0
DQ396393,0
DQ396394,1
DQ396395,0
DQ396398,1
DQ396399,0
DQ396400,0
DQ411853,0
DQ422948,2
DQ435682,0
DQ435683,0
DQ435684,2
DQ445632,0
DQ445633,1
DQ445634,0
DQ445635,1
DQ445636,2
DQ445637,1
DQ676870,2
DQ676872,0
DQ676874,0
DQ676877,0
DQ676880,0
DQ676883,0
DQ676886,1
DQ823356,0
DQ823357,0
DQ823358,0
DQ823359,0
DQ823360,0
DQ823361,0
DQ823362,2
DQ823363,0
DQ823364,0
DQ823365,0
DQ823366,0
DQ823367,0
DQ869014,0
DQ869015,0
DQ869016,1
DQ869017,1
DQ869018,0
DQ869019,0
DQ869020,0
DQ869021,0
DQ869022,0
DQ869023,0
DQ869024,3
DQ869025,0
DQ869026,0
DQ869027,0
DQ869028,0
DQ869029,0
DQ869030,1
DQ869031,1
DQ869032,0
DQ869033,2
EF036527,4
EF036528,3
EF036529,2
EF036530,1
EF036531,5
EF036532,1
EF036533,2
EF036534,1
EF036535,0
EF036536,3
EF117265,0
EF117266,0
EF117267,0
EF117268,0
EF117269,1
EF117270,0
EF117271,0
EF117272,0
EF117273,0
EF117274,0
EF159970,0
EF159971,0
EF159972,0
EF159973,0
EF159974,2
EF203957,0
EF203963,1
EF203965,2
EF203968,0
EF203970,1
EF203973,1
EF203976,0
EF203980,0
EF203982,1
EF203983,1
EF203985,1
EF514697,0
EF514698,2
EF514699,0
EF514700,0
EF514701,0
EF514702,0
EF514703,0
EF514704,0
EF514705,0
EF514706,0
EF514707,0
EF514708,0
EF514709,0
EF514710,0
EF514711,0
EF514712,1
EF514713,0
EF531328,0
EF531329,0
EF531330,1
EF531331,1
EF531332,1
EF531333,1
EF531334,2
EF531335,1
EF531336,0
EF531337,0
EF531338,0
EF589039,0
EF589040,0
EF589041,1
EF589042,1
EF589043,0
EF589044,0
EF593294,0
EF593295,0
EF593296,1
EF593297,0
EF593298,1
EF593299,0
EF593300,2
EF593301,0
EF593302,0
EF593303,0
EF593304,1
EF593305,0
EF593306,0
EF593307,1
EF593308,0
EF593309,0
EF593310,1
EF593311,0
EF593312,0
EF593313,0
EF593314,0
EF593315,0
EF593316,1
EF593317,0
EF593318,2
EF593319,0
EF637046,0
EF637047,0
EF637048,0
EF637049,0
EF637050,0
EF637051,0
EF637052,1
EF637053,0
EF637054,0
EF637055,0
EF637056,2
EF637057,7
EU023922,0
EU023929,0
EU023932,0
EU023933,0
EU023937,1
EU110086,0
EU110087,1
EU110088,0
EU110089,0
EU110090,0
EU110091,0
EU110092,0
EU110093,0
EU110094,0
EU131787,0
EU131788,0
EU131789,1
EU131790,1
EU131791,0
EU131792,1
EU131793,0
EU131794,1
EU131795,2
EU131796,0
EU131797,1
EU131798,2
EU131799,1
EU131800,7
EU131801,2
EU131802,0
EU131803,0
EU131804,1
EU131805,0
EU131806,0
EU131807,0
EU131808,1
EU131809,0
EU131810,1
EU131811,0
EU166353,1
EU166379,0
EU166413,0
EU166439,0
EU166576,1
EU166605,1
EU166653,0
EU166681,0
EU166718,1
EU166759,2
EU166779,0
EU170136,0
EU170138,8
EU170140,1
EU170142,0
EU170143,0
EU170144,0
EU170145,0
EU170146,0
EU170147,0
EU170148,0
EU170149,0
EU170150,0
EU170151,0
EU170153,0
EU170154,0
EU281995,1
EU281996,1
EU281997,1
EU281998,2
EU281999,1
EU342828,2
EU342829,1
EU342833,1
EU342834,1
EU342836,1
EU342837,4
EU342838,2
EU342839,1
EU342840,0
EU342841,0
EU342843,1
EU342845,0
EU342846,1
EU342848,0
EU342852,2
EU342854,1
EU342857,0
EU342858,2
EU342859,0
EU342863,1
EU342865,0
EU363825,0
EU363826,1
EU363827,1
EU363828,0
EU363829,0
EU363830,0
EU363831,0
EU363832,0
EU363833,0
EU363834,0
EU363835,1
EU363836,0
EU363837,0
EU363838,1
EU363839,0
EU363840,0
EU363841,0
EU363842,0
EU363843,0
EU363844,0
EU363845,0
EU363846,0
EU363847,0
EU363848,0
EU363849,0
EU363850,0
EU363851,0
EU480455,0
EU480456,2
EU480457,1
EU480458,2
EU480459,0
EU480460,0
EU480461,0
EU480462,1
EU480463,0
EU480464,1
EU480465,1
EU480466,2
EU480467,0
EU480468,0
EU480469,0
EU480470,0
EU480471,0
EU480472,2
EU480473,0
EU480474,1
EU480475,1
EU480476,0
EU517815,0
EU517816,0
EU517817,0
EU517818,0
EU517819,1
EU517820,0
EU517821,0
EU517822,0
EU517823,0
EU517824,0
EU517825,0
EU517826,1
EU517827,0
EU517828,0
EU517829,0
EU517830,0
EU517831,0
EU517832,0
EU517833,0
EU517834,0
EU517835,0
EU517836,0
EU517837,0
EU517838,0
EU517839,2
EU577479,0
EU577589,0
EU668962,0
EU668964,9
EU668966,4
EU668967,0
EU668968,0
EU668969,0
EU668970,0
EU668971,1
EU668972,2
EU668973,5
EU668974,2
EU668975,1
EU668977,1
EU668978,0
EU668979,2
EU668980,0
EU668981,0
EU668982,0
EU668983,0
EU668984,2
EU668985,2
EU668986,0
EU668987,0
EU668988,0
EU668989,0
EU668990,1
EU668991,0
EU786670,0
EU786671,0
EU786672,2
EU786673,0
EU786674,1
EU786675,0
EU786676,0
EU786677,2
EU786678,0
EU786679,2
EU786680,2
EU786681,1
EU839596,1
EU839597,0
EU839598,2
EU839600,0
EU839601,0
EU839602,0
EU839603,0
EU839604,0
EU839605,0
EU839606,1
EU839607,0
EU839608,1
EU839609,0
EU839610,0
EU852934,0
EU852942,1
EU852950,0
EU852958,0
EU852966,0
EU852974,1
EU852982,0
EU852990,0
EU852998,0
EU853006,0
EU853014,0
EU853022,0
EU853030,1
EU853038,1
EU853046,0
EU853054,0
EU853062,2
EU853070,0
EU853078,0
EU853086,0
EU853094,0
EU853102,0
EU853110,1
EU853118,0
EU853126,0
EU853134,0
EU863416,0
EU863417,4
EU863418,1
EU863419,0
EU863420,2
EU863421,0
EU863422,0
EU863423,0
EU863424,0
EU863425,0
EU863426,1
EU863427,0
EU863428,1
EU863429,1
EU863430,1
EU863431,0
EU863432,0
EU863433,1
EU863434,0
EU863435,1
EU863436,0
EU863437,1
EU863438,0
EU863439,0
EU863440,0
EU863441,0
EU863442,0
EU863443,0
EU863444,1
EU863445,0
EU863446,1
EU863447,0
EU863448,0
EU863449,0
EU863450,2
EU863451,0
EU884500,1
EU884501,1
FJ185237,0
FJ185238,1
FJ185239,3
FJ185240,0
FJ185241,4
FJ185242,7
FJ185243,5
FJ185244,0
FJ185245,1
FJ185246,0
FJ185247,1
FJ185248,0
FJ185249,0
FJ185250,1
FJ185251,0
FJ185252,3
FJ185253,8
FJ185254,0
FJ185255,7
FJ185256,0
FJ185257,2
FJ185258,0
FJ185259,1
FJ185260,2
FJ195086,1
FJ195088,0
FJ195089,1
FJ195090,1
FJ195091,0
FJ229800,1
FJ229801,2
FJ229805,0
FJ229806,1
FJ229810,0
FJ229811,0
FJ229812,0
FJ229813,2
FJ229814,1
FJ229817,0
FJ229818,0
FJ229819,0
FJ229821,0
FJ229827,0
FJ229828,0
FJ229829,0
FJ229830,1
FJ229831,0
FJ229832,0
FJ229833,1
FJ229834,0
FJ229835,0
FJ229836,3
FJ229837,1
FJ229838,0
FJ389363,0
FJ389364,0
FJ389365,0
FJ389366,1
FJ389367,1
FJ396012,0
FJ396016,2
FJ396022,0
FJ396026,1
FJ396028,1
FJ443274,0
FJ443367,0
FJ443455,1
FJ443520,0
FJ443533,0
FJ443548,0
FJ443557,0
FJ443575,0
FJ443600,1
FJ443624,0
FJ443644,0
FJ443666,0
FJ443690,0
FJ443713,0
FJ443734,1
FJ443757,1
FJ443782,1
FJ443839,0
FJ443861,1
FJ443883,0
FJ443938,0
FJ443989,2
FJ444007,0
FJ444035,0
FJ444058,0
FJ444077,0
FJ444092,0
FJ444120,1
FJ444159,0
FJ444186,1
FJ444208,0
FJ444230,0
FJ444253,0
FJ444281,0
FJ444305,1
FJ444325,2
FJ444347,0
FJ444369,0
FJ444392,0
FJ444416,0
FJ444436,0
FJ444457,3
FJ444480,0
FJ444501,0
FJ444523,0
FJ444543,0
FJ444566,0
FJ444589,1
FJ444611,0
FJ469705,0
FJ469718,1
FJ469721,0
FJ469744,0
FJ469752,1
FJ469764,0
FJ496072,0
FJ496081,0
FJ623475,0
FJ623476,1
FJ623477,0
FJ623478,0
FJ623479,0
FJ623480,1
FJ623481,1
FJ623482,1
FJ623483,1
FJ623484,1
FJ623485,1
FJ623486,0
FJ623487,0
FJ623489,2
FJ623490,0
FJ623491,0
FJ623492,0
FJ623493,1
FJ623494,1
FJ623495,1
FJ670515,0
FJ670517,0
FJ670518,0
FJ670519,0
FJ670520,1
FJ670521,0
FJ670522,0
FJ670523,0
FJ670524,1
FJ670525,1
FJ670526,0
FJ670527,1
FJ670528,0
FJ670530,0
FJ670531,1
FJ853620,0
FJ853622,1
FJ866113,0
FJ866117,0
FJ866118,0
FJ866119,0
FJ866121,2
FJ866124,0
FJ866128,1
FJ866131,0
FJ866133,0
FJ866136,0
FJ866138,0
FJ866139,1
FM877777,2
FM877779,1
FM877780,2
FM877781,2
FM877782,1
GQ372988,0
GQ372989,0
GQ372990,1
GQ477441,1
GQ477442,1
GQ477443,0
GQ477444,0
GQ477445,0
GQ477446,0
GQ477447,0
GQ477448,0
GQ477449,0
GQ477450,2
GQ477451,0
GU329048,0
GU329053,1
GU329063,2
GU329078,0
GU329094,0
GU329107,0
GU329121,0
GU329131,1
GU329144,0
GU329154,0
GU329164,0
GU329175,0
GU329184,0
GU329195,0
GU329205,0
GU329216,0
GU329236,0
GU329257,0
GU329271,0
GU329289,0
GU329300,0
GU329310,0
GU329321,0
GU329333,0
GU329343,1
GU329354,1
GU329364,0
GU329375,0
GU329389,1
GU329399,0
GU329415,0
GU329437,0
GU329458,1
GU329481,0
GU329490,0
GU329500,1
GU329510,0
GU330247,1
GU330333,0
GU330396,0
GU330462,0
GU330499,0
GU330524,1
GU330549,0
GU330598,0
GU330622,0
GU330692,0
GU330731,1
GU330809,1
GU330839,4
GU330862,1
GU330916,1
GU330956,0
GU330994,0
GU331039,0
GU331066,0
GU331094,0
GU331183,0
GU331218,0
GU331463,0
GU331496,0
GU331550,0
GU331590,1
GU331722,0
GU331748,0
GU362881,1
GU362882,1
GU362883,1
GU362885,0
GU362886,0
GU481107,0
GU481156,0
GU481203,1
GU481254,0
GU481277,0
GU481329,0
GU481371,0
GU481392,0
GU481421,0
GU481472,0
GU481519,0
GU481537,0
GU481566,0
GU481591,0
GU481615,1
GU481636,0
GU481661,1
GU562001,0
GU562028,2
GU562058,0
GU562080,0
GU562105,0
GU562134,0
GU562153,0
GU562218,0
GU562249,0
GU562271,0
GU727872,2
GU727873,2
GU727875,0
GU727876,1
GU727879,0
GU727880,1
GU727882,0
GU727883,1
GU727884,1
GU727889,1
GU727893,0
GU727895,0
GU727898,0
GU727899,3
GU727902,1
GU727916,2
GU727917,0
GU727928,0
GU727934,0
GU727943,2
GU727948,1
GU727951,1
GU727952,4
GU727955,2
GU727957,1
GU727960,0
GU727961,0
GU727972,0
GU727973,0
GU727974,2
GU727977,2
GU727980,0
GU727982,0
GU727983,0
GU727986,1
GU727995,0
GU727999,0
GU728000,2
GU728001,0
GU728005,0
GU728008,0
GU728010,0
GU728014,0
GU728025,0
GU728030,4
GU728039,0
GU728041,3
GU728051,0
GU728054,2
GU728060,2
GU728062,1
GU728066,2
GU728067,3
GU728070,2
GU728073,1
GU728086,2
GU728088,0
GU728089,3
GU728090,4
GU728092,6
GU728093,2
GU728094,1
GU728101,1
GU728105,2
GU728112,3
GU728116,0
GU728120,2
GU728122,0
GU728123,1
GU728130,0
GU728132,3
GU728134,1
GU728137,1
GU728138,0
GU728140,4
GU728141,0
GU728144,0
GU728145,2
GU728149,1
GU728150,1
GU728152,1
GU728154,2
GU728155,1
GU728157,0
GU728158,1
GU728159,0
GU728163,0
GU728167,0
GU728168,1
GU728171,2
GU728173,1
GU728174,1
GU728176,1
GU728178,0
GU728179,0
GU728180,0
GU728181,0
GU728184,0
GU728185,1
GU728186,4
GU728188,1
GU728189,1
GU728191,3
GU728192,0
GU728197,1
GU728199,2
GU728200,1
GU728201,2
GU728204,0
GU728205,3
GU728208,0
GU728209,1
GU728214,0
GU728215,2
GU728216,0
GU728217,5
GU728222,1
GU728223,0
GU728224,0
GU728225,1
GU728226,1
GU728227,2
GU728229,0
GU728230,1
GU728231,0
GU728233,1
GU728234,2
GU728236,2
GU728237,0
GU728238,1
GU728240,1
GU728242,1
GU728243,0
GU728244,0
GU728246,2
GU728247,0
GU728249,0
GU728251,0
GU728253,2
GU728255,0
GU728257,1
GU728262,1
GU728263,0
GU728264,0
GU728267,0
GU728268,0
GU728274,0
GU728276,4
GU728277,1
GU728279,2
GU728280,1
GU728282,0
GU728283,0
GU728287,0
GU728288,0
GU728289,0
GU728290,1
GU728293,0
GU728294,0
GU728295,1
GU728296,0
GU728298,1
GU728299,0
GU728300,0
GU728304,0
GU728307,1
GU728308,0
GU728309,1
GU728310,1
GU728311,0
GU728313,0
GU728314,2
GU728318,1
GU728320,0
GU728321,2
GU728322,0
GU728323,0
GU728325,0
GU728326,0
GU728327,3
GU728329,1
GU728330,1
GU728333,0
GU728334,1
GU728335,1
GU728336,0
GU728337,3
GU728339,0
GU728341,1
GU728342,0
GU728344,1
GU728345,1
GU728346,0
GU728348,0
GU728349,2
GU728350,9
GU728352,2
