Accession,PMID,Gene,Subtype,NumAAChanges,NumInsertions,NumDeletions,NumStopCodons,NumApobecs,NumUnusuals,NumFrameShifts
AB078709,12131217,gag,B,33,0,0,0,0,3,1
AB078710,12131217,gag,BC,55,1,6,0,0,0,1
AB078711,12131217,gag,B,28,0,0,0,0,1,1
AB078712,12131217,gag,BC,68,1,10,0,0,0,1
AB078713,12131217,gag,BC,36,1,4,0,0,1,1
AB078715,12131217,gag,BC,31,0,0,0,0,6,1
AB078716,12131217,gag,BC,73,1,10,0,0,3,2
AB097865,14502011,gag,01B,30,0,1,1,0,1,0
AB097866,14502011,gag,01BC,59,0,5,0,0,2,0
AB097867,14502011,gag,01B,84,1,2,0,0,2,1
AB097868,14502011,gag,01BC,72,1,10,0,0,1,1
AB097869,14502011,gag,BC,27,0,1,0,0,1,0
AB097870,14502011,gag,B,27,0,0,0,0,2,1
AB097871,14502011,gag,C,75,1,10,0,0,1,2
AB097872,14502011,gag,01_AE,80,1,5,2,0,1,3
AB097873,14502011,gag,BC,26,0,0,0,0,4,1
AB213667,16386117,gag,B,21,0,0,0,0,0,0
AB213668,16386117,gag,B,19,0,0,0,0,3,1
AB213669,16386117,gag,01_AE,80,1,4,0,0,1,1
AB213670,16386117,gag,B,21,0,0,0,0,1,0
AB213671,16386117,gag,08_BC,73,1,10,0,0,1,1
AB213672,16386117,gag,B,19,0,0,0,0,0,0
AB213673,16386117,gag,07_BC,80,1,18,0,0,1,3
AB213674,16386117,gag,08_BC,73,1,10,0,0,0,1
AB213675,16386117,gag,07_BC,78,0,14,1,0,4,3
AB213676,16386117,gag,07_BC,64,1,6,0,0,0,1
AB213677,16386117,gag,07_BC,65,1,6,0,0,1,1
AB213678,16386117,gag,08_BC,72,1,10,0,0,1,1
AB213679,16386117,gag,08_BC,71,1,10,0,0,0,1
AB213680,16386117,gag,07_BC,74,0,9,1,0,6,2
AB213681,16386117,gag,08_BC,81,1,10,0,0,1,1
AB213682,16386117,gag,08_BC,76,1,10,0,0,1,1
AB213683,16386117,gag,08_BC,72,1,10,0,0,0,1
AB213684,16386117,gag,07_BC,68,1,6,0,0,0,1
AB213685,16386117,gag,08_BC,74,1,10,0,0,0,1
AB213686,16386117,gag,07_BC,79,1,18,0,0,3,3
AB213687,16386117,gag,08_BC,74,1,10,0,0,1,1
AB213688,16386117,gag,08_BC,75,0,9,0,0,1,0
AB213689,16386117,gag,07_BC,67,1,6,0,0,0,1
AB213690,16386117,gag,0108,74,1,9,0,0,0,1
AB213691,16386117,gag,0107,68,1,9,0,0,0,1
AB213692,16386117,gag,B,23,0,0,0,0,0,0
AB428551,18620491,gag,B,28,0,0,0,0,0,1
AB428552,18620491,gag,B,21,0,0,0,0,0,1
AB428553,18620491,gag,B,29,0,0,0,0,0,1
AB428554,18620491,gag,B,26,0,0,0,0,0,1
AB428555,18620491,gag,B,29,0,0,0,0,0,1
AB428556,18620491,gag,B,37,0,0,0,0,1,1
AB428557,18620491,gag,B,35,0,0,0,0,1,2
AB428558,18620491,gag,B,34,0,0,1,0,0,1
AB428559,18620491,gag,B,36,0,0,1,0,1,1
AB428560,18620491,gag,B,42,0,0,1,0,0,1
AB428561,18620491,gag,B,27,0,0,1,0,1,0
AB428562,18620491,gag,B,41,0,0,1,1,1,1
AB703607,22916738,gag,35_AD,72,0,4,0,0,1,1
AB703608,22916738,gag,35_AD,69,0,5,0,0,1,0
AB703609,22916738,gag,35_AD,76,0,4,0,0,0,0
AB703610,22916738,gag,35_AD,75,0,5,0,0,0,0
AB703611,22916738,gag,35_AD,74,0,4,0,0,0,0
AB703612,22916738,gag,35_AD,73,1,4,0,0,0,1
AB703613,22916738,gag,35_AD,71,0,4,0,0,0,0
AB703614,22916738,gag,35_AD,78,0,4,0,0,0,0
AB703615,22916738,gag,35_AD,78,0,4,0,0,0,0
AB703616,22916738,gag,01_AE,89,0,9,1,0,0,3
AB845344,26571151,gag,69_01B,43,0,0,0,0,0,0
AB845345,26571151,gag,69_01B,41,0,0,0,0,0,0
AB845346,26571151,gag,69_01B,43,0,0,0,0,0,0
AB845347,26571151,gag,69_01B,43,0,0,0,0,0,1
AB845348,26571151,gag,69_01B,41,0,2,1,0,0,3
AB845349,26571151,gag,69_01B,50,0,0,0,0,0,1
AB859012,26571151,gag,01B,47,0,0,0,0,0,0
AB873205,24522911,gag,B,42,0,0,0,0,1,0
AB873206,24522911,gag,B,26,0,1,0,0,0,0
AB873207,24522911,gag,B,35,0,0,1,0,1,0
AB873208,24522911,gag,B,42,0,0,0,0,0,0
AB873209,24522911,gag,B,43,0,1,0,0,0,0
AB873210,24522911,gag,B,41,0,1,0,0,1,0
AB873211,24522911,gag,B,31,0,0,0,0,0,0
AB873212,24522911,gag,B,43,0,1,0,0,0,0
AB873213,24522911,gag,B,32,0,0,1,0,0,0
AB873214,24522911,gag,B,24,0,0,0,0,0,0
AB873215,24522911,gag,B,38,0,1,0,0,0,0
AB873216,24522911,gag,B,33,0,1,0,0,0,1
AB873217,24522911,gag,B,45,0,0,0,0,1,0
AB873218,24522911,gag,B,35,0,0,1,0,0,0
AB873219,24522911,gag,B,23,0,0,0,0,0,0
AB873220,24522911,gag,B,24,0,0,0,0,0,0
AB873221,24522911,gag,B,35,0,0,0,0,1,0
AB873222,24522911,gag,B,44,0,1,1,0,0,0
AB873223,24522911,gag,B,41,0,1,0,0,1,0
AB873224,24522911,gag,B,44,0,0,0,0,1,0
AB873225,24522911,gag,B,22,0,0,0,0,0,0
AB873226,24522911,gag,B,32,0,0,0,0,0,0
AB873227,24522911,gag,B,41,0,1,0,0,0,0
AB873228,24522911,gag,B,42,0,1,0,0,0,0
AB873229,24522911,gag,B,34,0,0,1,0,0,0
AB873230,24522911,gag,B,34,0,0,1,0,0,0
AB873231,24522911,gag,B,36,0,0,2,0,0,0
AB873232,24522911,gag,B,43,0,0,1,0,0,0
AB873233,24522911,gag,B,29,0,0,0,0,0,0
AB873234,24522911,gag,B,35,0,0,1,0,1,0
AB873235,24522911,gag,B,40,0,0,0,0,1,0
AB873236,24522911,gag,B,32,0,0,0,0,0,0
AB873237,24522911,gag,B,27,0,0,0,0,1,0
AB873238,24522911,gag,B,34,0,0,0,0,1,0
AB873239,24522911,gag,B,29,0,0,0,0,0,2
AB873240,24522911,gag,B,42,0,0,0,0,3,0
AB873241,24522911,gag,B,29,0,0,0,0,0,0
AB873242,24522911,gag,B,34,0,0,0,0,0,0
AB873243,24522911,gag,B,36,0,3,0,0,0,0
AB873244,24522911,gag,B,41,0,0,0,0,0,0
AB873245,24522911,gag,B,47,0,0,1,0,0,0
AB873246,24522911,gag,B,26,0,0,0,1,1,0
AB873247,24522911,gag,B,41,0,0,0,0,0,0
AB873248,24522911,gag,B,30,0,0,1,0,0,0
AB873249,24522911,gag,B,31,0,0,0,0,1,0
AB873250,24522911,gag,B,44,0,0,1,0,0,0
AB873251,24522911,gag,B,33,0,0,1,0,0,0
AB873252,24522911,gag,B,26,0,0,0,0,0,0
AB873253,24522911,gag,B,35,0,0,0,0,0,0
AB873254,24522911,gag,B,33,0,0,0,0,0,0
AB873255,24522911,gag,B,42,0,0,1,0,2,0
AB873256,24522911,gag,B,38,0,1,0,0,2,0
AB873257,24522911,gag,B,36,0,0,0,0,2,0
AB873258,24522911,gag,B,39,0,0,1,0,1,0
AB873259,24522911,gag,B,29,0,0,0,0,1,0
AB873260,24522911,gag,B,34,0,3,0,0,0,0
AB873261,24522911,gag,B,37,0,1,1,0,0,0
AB873262,24522911,gag,B,37,0,1,1,0,0,0
AB873263,24522911,gag,B,22,0,0,1,0,0,0
AB873264,24522911,gag,B,41,0,0,2,0,0,0
AB873265,24522911,gag,B,31,0,0,1,0,0,0
AB873266,24522911,gag,B,36,0,0,1,0,0,0
AB873267,24522911,gag,B,27,0,0,0,0,0,0
AB873268,24522911,gag,B,27,0,0,0,0,0,0
AB873269,24522911,gag,B,39,0,0,0,0,1,0
AB873270,24522911,gag,B,51,0,2,0,0,0,1
AB873271,24522911,gag,B,31,0,0,0,0,0,0
AB873272,24522911,gag,B,30,0,0,0,0,1,0
AB873273,24522911,gag,B,31,0,0,1,0,0,0
AB873274,24522911,gag,B,29,0,0,2,0,0,0
AB873275,24522911,gag,B,34,0,0,0,0,0,0
AB873276,24522911,gag,B,46,0,8,1,0,3,2
AB873277,24522911,gag,B,45,0,1,1,0,0,0
AB873278,24522911,gag,B,38,0,0,1,0,1,0
AB873279,24522911,gag,B,39,0,0,0,0,0,0
AB873280,24522911,gag,B,34,0,0,1,0,0,0
AB873281,24522911,gag,B,38,0,0,0,0,1,0
AB873282,24522911,gag,B,23,0,0,1,0,0,0
AB873283,24522911,gag,B,31,0,0,0,0,0,0
AB873284,24522911,gag,B,45,0,0,2,0,5,0
AB873285,24522911,gag,B,31,0,0,0,0,0,0
AB873286,24522911,gag,B,45,0,0,0,0,1,0
AB873287,24522911,gag,B,41,0,0,0,0,0,0
AB873288,24522911,gag,B,34,0,0,0,0,0,0
AB873289,24522911,gag,B,32,0,0,1,0,2,0
AB873290,24522911,gag,B,29,0,0,0,0,0,0
AB873291,24522911,gag,B,42,0,2,1,0,0,0
AB873292,24522911,gag,B,27,0,0,1,0,0,0
AB873293,24522911,gag,B,20,0,0,1,0,0,0
AB873294,24522911,gag,B,37,0,0,0,0,1,0
AB873295,24522911,gag,B,34,0,1,0,0,1,0
AB873296,24522911,gag,B,27,0,0,0,0,0,0
AB873297,24522911,gag,B,41,0,1,0,0,4,0
AB873298,24522911,gag,B,39,0,1,0,0,0,0
AB873299,24522911,gag,B,37,0,1,1,0,0,0
AB873300,24522911,gag,B,33,0,0,0,0,0,0
AB873301,24522911,gag,B,30,0,1,0,0,1,0
AB873302,24522911,gag,B,32,0,0,1,0,0,0
AB873303,24522911,gag,B,29,0,0,0,0,0,0
AB873304,24522911,gag,B,40,0,0,2,1,0,0
AB873305,24522911,gag,B,49,0,0,1,0,0,0
AB873306,24522911,gag,B,24,0,0,0,0,0,0
AB873307,24522911,gag,B,32,0,0,0,0,1,0
AB873308,24522911,gag,B,28,0,0,1,0,0,0
AB873309,24522911,gag,B,39,0,0,1,0,0,0
AB873310,24522911,gag,B,33,0,0,0,0,0,0
AB873311,24522911,gag,B,23,0,0,0,0,0,0
AB873312,24522911,gag,B,27,0,0,0,0,0,0
AB873313,24522911,gag,B,43,0,0,0,0,1,0
AB873314,24522911,gag,B,35,0,0,1,0,1,0
AB873315,24522911,gag,B,32,0,0,1,0,3,0
AB873316,24522911,gag,B,41,0,0,0,0,0,0
AB873317,24522911,gag,B,42,0,0,1,0,0,0
AB873318,24522911,gag,B,28,0,0,0,0,0,0
AB873319,24522911,gag,B,52,0,0,0,0,0,0
AB873320,24522911,gag,B,33,0,0,0,0,1,0
AB873321,24522911,gag,B,28,0,0,0,0,1,0
AB873322,24522911,gag,B,29,0,0,1,0,1,0
AB873323,24522911,gag,B,47,0,0,2,1,10,0
AB873324,24522911,gag,B,42,0,0,0,0,1,0
AB873325,24522911,gag,B,37,0,0,0,0,2,0
AB873326,24522911,gag,B,36,0,0,0,0,1,0
AB873327,24522911,gag,B,35,0,0,0,0,1,0
AB873328,24522911,gag,B,34,0,1,1,0,1,0
AB873329,24522911,gag,B,48,0,0,0,0,1,0
AB873330,24522911,gag,B,38,0,0,0,0,0,0
AB873331,24522911,gag,B,25,0,0,0,0,0,0
AB873332,24522911,gag,B,34,0,1,1,0,0,0
AB873333,24522911,gag,B,42,0,0,0,0,0,0
AB873334,24522911,gag,B,39,0,0,1,0,0,0
AB873335,24522911,gag,B,45,0,0,2,0,0,0
AB873336,24522911,gag,B,28,0,0,0,0,0,0
AB873337,24522911,gag,B,29,0,2,0,0,0,0
AB873338,24522911,gag,B,34,0,0,1,0,0,0
AB873339,24522911,gag,B,42,0,0,1,0,1,0
AB873340,24522911,gag,B,39,0,0,2,0,1,0
AB873341,24522911,gag,B,37,0,0,0,0,1,0
AB873342,24522911,gag,B,31,0,0,0,0,0,0
AB873343,24522911,gag,B,36,0,0,1,0,0,0
AB873344,24522911,gag,B,42,0,0,1,0,0,0
AB873345,24522911,gag,B,31,0,0,0,0,0,0
AB873346,24522911,gag,B,33,0,0,0,0,0,0
AB873347,24522911,gag,B,39,0,0,0,0,1,0
AB873348,24522911,gag,B,37,0,0,0,0,1,0
AB873349,24522911,gag,B,43,0,1,0,0,0,0
AB873350,24522911,gag,B,45,0,0,0,0,0,0
AB873351,24522911,gag,B,35,0,0,1,0,2,0
AB873352,24522911,gag,B,38,0,0,0,0,1,0
AB873353,24522911,gag,B,42,0,0,0,0,0,0
AB873354,24522911,gag,B,38,0,0,2,0,0,0
AB873355,24522911,gag,B,34,0,0,1,0,0,0
AB873356,24522911,gag,B,44,0,0,0,0,0,0
AB873357,24522911,gag,B,30,0,0,2,0,1,2
AB873358,24522911,gag,B,33,0,0,0,0,0,0
AB873359,24522911,gag,B,37,0,0,1,0,0,0
AB873360,24522911,gag,B,44,0,0,1,0,0,0
AB873361,24522911,gag,B,47,0,0,1,0,0,0
AB873362,24522911,gag,B,50,0,0,1,0,2,0
AB873363,24522911,gag,B,41,0,0,1,0,0,0
AB873364,24522911,gag,B,38,0,0,1,0,0,0
AB873365,24522911,gag,B,20,0,1,0,0,2,0
AB873366,24522911,gag,B,22,0,0,1,0,0,0
AB873367,24522911,gag,B,32,0,1,1,0,0,0
AB873368,24522911,gag,B,31,0,0,0,0,1,0
AB873369,24522911,gag,B,33,0,0,0,0,0,0
AB873370,24522911,gag,B,41,0,0,1,0,0,0
AB873371,24522911,gag,B,42,0,0,1,0,1,0
AB873372,24522911,gag,B,30,0,0,0,0,0,0
AB873373,24522911,gag,B,39,0,0,0,0,0,0
AB873374,24522911,gag,B,29,0,0,1,0,1,0
AB873375,24522911,gag,B,30,0,0,1,0,0,0
AB873376,24522911,gag,B,28,0,0,1,0,0,0
AB873377,24522911,gag,B,30,0,0,0,0,0,0
AB873378,24522911,gag,B,26,0,0,0,0,0,0
AB873379,24522911,gag,B,44,0,0,0,0,0,0
AB873380,24522911,gag,01B,46,0,0,0,0,2,0
AB873381,24522911,gag,B,22,0,0,0,0,0,0
AB873382,24522911,gag,B,43,0,3,0,0,3,0
AB873383,24522911,gag,B,35,0,0,1,0,2,0
AB873384,24522911,gag,B,34,0,0,0,0,0,0
AB873385,24522911,gag,B,28,0,1,2,0,0,0
AB873386,24522911,gag,B,42,0,1,0,0,1,0
AB873387,24522911,gag,B,31,0,1,1,0,0,0
AB873388,24522911,gag,B,33,0,0,1,0,1,0
AB873389,24522911,gag,B,48,0,0,1,0,4,0
AB873390,24522911,gag,B,34,0,0,0,0,2,0
AB873391,24522911,gag,B,41,0,4,0,0,0,0
AB873392,24522911,gag,B,33,0,0,1,0,1,0
AB873393,24522911,gag,B,38,0,0,0,0,0,0
AB873394,24522911,gag,B,34,0,0,0,0,0,0
AB873395,24522911,gag,B,37,0,0,1,0,1,0
AB873396,24522911,gag,B,39,0,0,1,0,0,0
AB873397,24522911,gag,B,32,0,0,0,0,0,0
AB873398,24522911,gag,B,33,0,0,0,0,0,0
AB873399,24522911,gag,B,45,0,0,0,0,0,0
AB873400,24522911,gag,B,46,0,0,0,0,0,0
AB873401,24522911,gag,B,33,0,1,0,0,1,0
AB873402,24522911,gag,B,31,0,0,1,0,0,0
AB873403,24522911,gag,B,39,0,0,1,0,1,0
AB873404,24522911,gag,B,37,0,0,1,0,0,0
AB873405,24522911,gag,B,34,0,0,0,0,0,0
AB873406,24522911,gag,B,31,0,0,1,0,0,0
AB873407,24522911,gag,B,43,0,0,0,0,3,0
AB873408,24522911,gag,B,37,0,0,0,0,1,0
AB873409,24522911,gag,B,33,0,0,0,0,2,0
AB873410,24522911,gag,B,46,0,3,0,0,0,0
AB873411,24522911,gag,B,38,0,5,0,0,0,0
AB873412,24522911,gag,B,34,0,0,0,0,3,0
AB873413,24522911,gag,B,46,0,0,0,0,0,0
AB873414,24522911,gag,B,38,0,0,2,0,2,0
AB873415,24522911,gag,B,22,0,0,1,0,0,0
AB873416,24522911,gag,B,50,1,1,0,0,2,3
AB873417,24522911,gag,B,39,0,0,1,0,0,0
AB873418,24522911,gag,BF1,42,0,0,1,0,0,0
AB873419,24522911,gag,B,32,0,0,2,0,1,0
AB873420,24522911,gag,B,35,0,0,1,0,0,0
AB873421,24522911,gag,B,32,0,0,1,0,0,0
AB873422,24522911,gag,B,30,0,0,2,0,1,0
AB873423,24522911,gag,B,36,0,0,0,0,1,0
AB873424,24522911,gag,B,39,0,0,0,0,0,0
AB873425,24522911,gag,B,36,0,0,1,0,0,0
AB873426,24522911,gag,B,36,0,0,1,0,1,0
AB873427,24522911,gag,B,47,0,1,0,0,0,2
AB873428,24522911,gag,B,45,0,1,1,0,3,0
AB873429,24522911,gag,B,47,0,0,1,0,1,0
AB873430,24522911,gag,B,30,0,0,0,0,0,0
AB873431,24522911,gag,B,36,0,0,0,0,0,0
AB873432,24522911,gag,B,39,0,2,1,0,1,0
AB873433,24522911,gag,B,46,0,1,0,0,0,0
AB873434,24522911,gag,B,33,0,0,2,0,2,0
AB873435,24522911,gag,B,28,0,0,0,0,1,0
AB873436,24522911,gag,B,33,0,0,0,0,0,0
AB873437,24522911,gag,B,31,0,0,0,0,0,0
AB873438,24522911,gag,B,30,0,0,0,0,2,0
AB873439,24522911,gag,B,36,0,0,1,0,0,0
AB873440,24522911,gag,B,30,0,0,1,0,0,0
AB873441,24522911,gag,B,50,0,0,1,0,2,0
AB873442,24522911,gag,B,41,0,4,0,0,0,0
AB873443,24522911,gag,B,31,0,0,0,0,0,0
AB873444,24522911,gag,B,30,0,1,0,0,0,0
AB873445,24522911,gag,B,42,0,2,1,0,0,0
AB873446,24522911,gag,B,37,0,0,1,0,1,0
AB873447,24522911,gag,B,41,0,0,2,0,3,0
AB873448,24522911,gag,B,31,0,0,0,0,0,0
AB873449,24522911,gag,B,33,0,0,1,0,1,0
AB873450,24522911,gag,BF1,41,0,0,1,0,1,0
AB873451,24522911,gag,B,44,0,0,1,0,5,0
AB873452,24522911,gag,B,34,0,0,0,0,3,0
AB873453,24522911,gag,B,38,0,0,1,0,2,0
AB873454,24522911,gag,B,44,0,0,1,0,2,0
AB873455,24522911,gag,B,31,0,1,0,0,0,0
AB873456,24522911,gag,B,34,0,0,0,0,0,0
AB873457,24522911,gag,B,46,0,0,0,0,0,0
AB873458,24522911,gag,B,37,0,0,1,0,0,0
AB873459,24522911,gag,B,28,0,0,0,0,0,0
AB873460,24522911,gag,B,35,0,0,1,0,0,0
AB873461,24522911,gag,B,33,0,0,0,0,1,0
AB873462,24522911,gag,B,32,0,0,0,0,0,0
AB873463,24522911,gag,B,41,0,1,2,0,2,0
AB873464,24522911,gag,B,39,0,0,0,0,1,0
AB873465,24522911,gag,B,50,0,0,2,0,0,0
AB873466,24522911,gag,B,24,0,0,0,0,1,0
AB873467,24522911,gag,B,27,0,1,1,0,0,0
AB873468,24522911,gag,B,38,0,0,0,0,0,0
AB873469,24522911,gag,B,32,0,0,1,0,0,0
AB873470,24522911,gag,B,30,0,0,0,0,0,0
AB873471,24522911,gag,B,39,0,0,1,0,1,0
AB873472,24522911,gag,B,50,0,1,2,0,8,0
AB873473,24522911,gag,B,46,0,1,1,0,3,0
AB873474,24522911,gag,B,25,0,0,0,0,0,0
AB873475,24522911,gag,B,41,0,0,0,0,3,0
AB873476,24522911,gag,B,40,0,0,1,0,1,0
AB873477,24522911,gag,B,41,0,0,0,0,0,0
AB873478,24522911,gag,B,43,0,0,1,0,1,0
AB873479,24522911,gag,B,46,0,0,2,0,3,0
AB873480,24522911,gag,B,46,0,0,0,0,0,0
AB873481,24522911,gag,B,42,0,1,1,0,0,0
AB873482,24522911,gag,B,38,0,0,0,0,3,0
AB873483,24522911,gag,B,30,0,0,0,0,1,0
AB873484,24522911,gag,B,41,0,0,0,0,0,0
AB873485,24522911,gag,B,37,0,6,0,0,2,0
AB873486,24522911,gag,B,39,0,1,0,0,1,0
AB873487,24522911,gag,B,31,0,0,1,0,0,0
AB873488,24522911,gag,B,37,0,0,2,0,2,0
AB873489,24522911,gag,B,47,0,0,0,0,0,0
AB873490,24522911,gag,B,40,0,0,0,0,2,0
AB873491,24522911,gag,B,38,0,0,0,0,5,2
AB873492,24522911,gag,B,43,0,1,0,0,3,0
AB873493,24522911,gag,B,39,0,0,0,0,0,0
AB873494,24522911,gag,B,31,0,1,0,0,1,0
AB873495,24522911,gag,B,32,0,0,0,0,0,0
AB873496,24522911,gag,B,35,0,1,1,0,0,0
AB873497,24522911,gag,B,45,0,1,2,0,0,0
AB873498,24522911,gag,B,37,0,0,1,0,0,0
AB873499,24522911,gag,B,37,0,0,1,0,1,0
AB873500,24522911,gag,B,47,0,0,1,1,6,0
AB873501,24522911,gag,B,31,0,0,0,0,0,0
AB873502,24522911,gag,B,39,0,1,0,0,1,0
AB873503,24522911,gag,B,43,0,0,1,0,1,0
AB873504,24522911,gag,B,36,0,1,0,0,1,0
AB873505,24522911,gag,B,36,0,0,0,0,1,0
AB873506,24522911,gag,B,40,0,0,1,0,4,0
AB873507,24522911,gag,B,45,0,1,0,0,0,0
AB873508,24522911,gag,B,22,0,0,0,0,0,0
AB873509,24522911,gag,B,44,0,0,0,0,0,0
AB873510,24522911,gag,B,38,0,0,1,0,0,0
AB873511,24522911,gag,B,44,0,1,1,0,1,0
AB873512,24522911,gag,B,49,0,1,0,0,1,0
AB873513,24522911,gag,B,45,0,1,0,0,3,0
AB873514,24522911,gag,B,41,0,3,0,0,0,0
AB873515,24522911,gag,B,51,0,0,1,1,3,0
AB873516,24522911,gag,B,42,0,1,1,0,0,0
AB873517,24522911,gag,B,39,0,0,1,0,1,0
AB873518,24522911,gag,B,36,0,0,0,0,0,0
AB873519,24522911,gag,B,35,0,0,0,0,0,0
AB873520,24522911,gag,B,24,0,0,0,0,0,0
AB873521,24522911,gag,B,39,0,1,0,0,0,0
AB873522,24522911,gag,B,28,0,0,0,0,0,0
AB873523,24522911,gag,B,49,0,0,1,0,1,0
AB873524,24522911,gag,B,40,0,2,0,0,0,0
AB873525,24522911,gag,B,37,0,0,0,0,1,0
AB873526,24522911,gag,B,35,0,0,0,0,1,0
AB873527,24522911,gag,B,38,0,0,0,0,0,0
AB873528,24522911,gag,B,34,0,1,0,0,0,0
AB873529,24522911,gag,B,37,0,0,0,0,0,0
AB873530,24522911,gag,B,38,0,0,1,0,0,0
AB873531,24522911,gag,B,41,0,0,2,0,0,0
AB873532,24522911,gag,B,47,0,0,2,0,0,0
AB873533,24522911,gag,B,31,0,0,1,0,0,0
AB873534,24522911,gag,B,42,0,0,0,0,0,0
AB873535,24522911,gag,B,40,0,0,1,0,1,0
AB873536,24522911,gag,B,44,0,0,2,0,1,0
AB873537,24522911,gag,B,51,0,0,1,0,0,0
AB873538,24522911,gag,B,51,0,1,2,0,0,0
AB873539,24522911,gag,B,27,0,2,0,0,0,0
AB873540,24522911,gag,B,35,0,0,1,0,0,0
AB873541,24522911,gag,B,41,0,3,0,0,1,0
AB873542,24522911,gag,B,48,0,0,0,0,1,0
AB873543,24522911,gag,B,46,0,2,0,1,4,0
AB873544,24522911,gag,B,40,0,0,0,0,3,0
AB873545,24522911,gag,B,23,0,0,0,0,0,0
AB873546,24522911,gag,B,38,0,0,0,0,0,0
AB873547,24522911,gag,B,40,0,0,0,0,0,0
AB873548,24522911,gag,B,36,0,0,0,0,1,0
AB873549,24522911,gag,B,33,0,0,1,0,0,0
AB873550,24522911,gag,B,40,0,1,0,0,0,0
AB873551,24522911,gag,B,33,0,0,1,0,0,0
AB873552,24522911,gag,B,37,0,0,0,0,1,0
AB873553,24522911,gag,B,40,0,1,1,0,1,0
AB873554,24522911,gag,B,41,0,0,0,0,0,0
AB873555,24522911,gag,B,27,0,0,1,0,0,0
AB873556,24522911,gag,B,36,0,1,1,0,0,0
AB873557,24522911,gag,B,35,0,0,1,0,0,0
AB873558,24522911,gag,B,36,0,0,0,0,0,0
AB873559,24522911,gag,B,33,0,0,0,0,0,0
AB873560,24522911,gag,B,39,0,0,0,0,0,0
AB873561,24522911,gag,B,47,0,0,1,0,0,0
AB873562,24522911,gag,01B,41,0,0,1,0,0,0
AB873563,24522911,gag,B,45,0,0,0,0,0,0
AB873564,24522911,gag,B,32,0,1,0,0,0,0
AB873565,24522911,gag,B,39,0,1,0,0,0,0
AB873566,24522911,gag,B,56,0,1,1,0,3,0
AB873567,24522911,gag,B,35,0,0,1,0,1,0
AB873568,24522911,gag,B,36,0,1,1,0,2,0
AB873569,24522911,gag,B,30,0,0,1,0,0,0
AB873570,24522911,gag,B,38,0,0,1,0,1,0
AB873571,24522911,gag,B,44,0,0,1,0,0,0
AB873572,24522911,gag,B,41,0,0,1,0,0,0
AB873573,24522911,gag,B,58,0,1,2,0,0,0
AB873574,24522911,gag,B,41,0,0,0,0,1,0
AB873575,24522911,gag,B,36,0,1,0,0,0,0
AB873576,24522911,gag,B,32,0,0,0,0,0,0
AB873577,24522911,gag,B,43,0,0,0,0,0,0
AB873578,24522911,gag,B,47,0,0,0,0,1,0
AB873579,24522911,gag,B,45,0,0,1,0,1,0
AB873580,24522911,gag,B,36,0,0,2,0,1,2
AB873581,24522911,gag,B,32,0,0,0,0,1,0
AB873582,24522911,gag,B,32,0,0,2,0,0,0
AB873583,24522911,gag,B,32,0,0,0,0,1,0
AB873584,24522911,gag,B,35,0,0,0,0,0,0
AB873585,24522911,gag,B,36,0,1,0,0,0,0
AB873586,24522911,gag,B,39,0,0,0,0,1,0
AB873587,24522911,gag,B,30,0,0,1,0,0,0
AB873588,24522911,gag,B,43,0,0,0,0,0,0
AB873589,24522911,gag,B,27,0,0,0,0,0,0
